순위,관광지명,주소,분류,현지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,250725
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,58812
3,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),53042
4,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,46294
5,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,41898
6,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,36236
7,협재해수욕장,제주 제주시,자연경관(하천/해양),34196
8,이호테우해변,제주 제주시,자연경관(하천/해양),31904
9,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),30533
10,곽지해수욕장,제주 제주시,자연경관(하천/해양),26756
11,이마트제주점,제주 제주시 탑동로 38-0,대형마트,23517
12,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,23436
13,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,20681
14,제스코마트,제주 제주시 연북로 444-0,대형마트,20267
15,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),20208
16,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,19749
17,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,19592
18,비자림,제주 제주시 비자숲길 55-0,자연공원,19501
19,스누피가든,제주 제주시 금백조로 930-0,기타관광,17568
20,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),17475
21,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,16603
22,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,16322
23,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,15690
24,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,15408
25,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,14809
26,신창풍차해안도로,제주 제주시,데이트코스,14670
27,월정리해변,제주 제주시,자연경관(하천/해양),14655
28,표선해수욕장,제주 서귀포시,자연경관(하천/해양),14164
29,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,13488
30,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,13274
31,용두암,제주 제주시 용두암길 15-0,기타관광,13232
32,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,12671
33,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,12598
34,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,12565
35,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),12473
36,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,12344
37,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,12303
38,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,12217
39,한라수목원,제주 제주시 수목원길 72-0,자연공원,12191
40,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),12090
41,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,11887
42,삼양해수욕장,제주 제주시,자연경관(하천/해양),11816
43,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,11483
44,하귀애월해안도로,제주 제주시,데이트코스,11404
45,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,11147
46,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,11131
47,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,11068
48,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,11024
49,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,10772
50,정방폭포,제주 서귀포시,자연경관(산),10721
51,새별오름,제주 제주시,자연관광(산),10404
52,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,10395
53,만장굴,제주 제주시 만장굴길 182-0,자연생태,10375
54,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,10013
55,9.81파크,제주 제주시 천덕로 880-24,테마공원,9786
56,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,9662
57,제주항제6부두,제주 제주시 임항로 191-0,자연경관(하천/해양),9514
58,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,9368
59,도두동무지개해안도로,제주 제주시,데이트코스,9024
60,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,8985
61,산굼부리,제주 제주시,복합관광시설,8953
62,성산항,제주 서귀포시,자연경관(하천/해양),8813
63,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,8547
64,산방산,제주 서귀포시 산방로 218-10,자연경관(산),8517
65,노형수퍼마?,제주 제주시 노형로 89-0,기타문화관광지,8428
66,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,8417
67,사계해수욕장,제주 서귀포시,자연경관(하천/해양),8282
68,서귀포향토오일시장,제주 서귀포시 토평서로11번길 142-0,시장,8169
69,수목원길야시장,제주 제주시,시장,8108
70,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,8095
71,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),8066
72,라온프라이빗타운,제주 제주시 금능남로 127-0,복합관광시설,8007
73,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,7871
74,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,7825
75,한림공원,제주 제주시 한림로 300-0,도시공원,7766
76,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),7749
77,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,7678
78,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),7556
79,금오름,제주 제주시,자연경관(산),7466
80,판포포구,제주 제주시,자연경관(하천/해양),7437
81,제주항국제여객선터미널,제주 제주시 임항로 191-0,교통시설,7394
82,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,7341
83,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,7233
84,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,7013
85,렛츠런파크제주,제주 제주시 평화로 2144-0,육상레저스포츠,6999
86,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,6908
87,타미우스CC,제주 제주시 화전길 201-0,육상레저스포츠,6877
88,광치기해변,제주 서귀포시,자연경관(하천/해양),6871
89,제주항제4부두,제주 제주시,자연경관(하천/해양),6847
90,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,6820
91,애월항,제주 제주시 애월해안로 0-0,자연경관(하천/해양),6662
92,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),6639
93,국립제주박물관,제주 제주시 일주동로 17-0,전시시설,6582
94,제주드림타워복합리조트,제주 제주시 노연로 12-0,콘도미니엄,6501
95,캐슬렉스제주GC,제주 서귀포시 평화로 1241-0,육상레저스포츠,6365
96,새별오름,제주 제주시,자연경관(산),6344
97,비밀의숲,제주 제주시,기타레저스포츠,6270
98,엘리시안CC,제주 제주시 평화로 1738-116,육상레저스포츠,6178
99,라온GC,제주 제주시 용금로 998-0,육상레저스포츠,6153
100,서귀포치유의숲,제주 서귀포시 산록남로 2271-0,자연공원,6059
