순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,296239
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,169526
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,159627
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),119106
5,협재해수욕장,제주 제주시,자연경관(하천/해양),115569
6,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,92870
7,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),83874
8,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),73642
9,용두암,제주 제주시 용두암길 15-0,기타관광,68875
10,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,67517
11,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,63625
12,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,62769
13,이호테우해변,제주 제주시,자연경관(하천/해양),62036
14,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,61584
15,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,60765
16,월정리해변,제주 제주시,자연경관(하천/해양),59116
17,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,56153
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,55125
19,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,53061
20,비자림,제주 제주시 비자숲길 55-0,자연공원,52783
21,성산항,제주 서귀포시,자연경관(하천/해양),49293
22,새별오름,제주 제주시,자연경관(산),48157
23,곽지해수욕장,제주 제주시,자연경관(하천/해양),46308
24,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,41550
25,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,39621
26,동문공설시장,제주 제주시 동문로 16-0,시장,39037
27,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,37555
28,정방폭포,제주 서귀포시,자연경관(산),36966
29,만장굴,제주 제주시 만장굴길 182-0,자연생태,35353
30,동문수산시장,제주 제주시 관덕로14길 20-0,시장,33792
31,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,33727
32,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,33396
33,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,33376
34,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,32411
35,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,32390
36,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,31468
37,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,31033
38,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,30361
39,산굼부리,제주 제주시,복합관광시설,29602
40,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,29150
41,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),28828
42,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,28520
43,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,27387
44,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,26987
45,산방산,제주 서귀포시 산방로 218-10,자연경관(산),26751
46,이마트제주점,제주 제주시 탑동로 38-0,대형마트,26633
47,신양섭지해수욕장,제주 서귀포시 섭지코지로 88-0,자연경관(하천/해양),26602
48,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,26552
49,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),24560
50,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),24032
51,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,23722
52,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,23682
53,중문관광단지,제주 서귀포시,복합관광시설,23579
54,하귀애월해안도로,제주 제주시,데이트코스,23256
55,용눈이오름,제주 제주시,자연경관(산),22700
