Branch,Address,Tel
강남1호점,서울시 서초구 서초대로73길 42(서초동) ,02-595-5849 
선정릉점,서울특별시 강남구 봉은사로57길 5(삼성동) ,02-543-5849 
한남오거리점,서울시 용산구 한남대로 21길 32(한남동) ,02-797-1231 
일원점,서울시 강남구 일원로 9길 55(일원동) ,02-3412-0070 
뚝섬역점,서울시 성동구 상원1길 42(성수동) ,02-468-7535 
수서역점,"서울시 강남구 수서동 716 사이룩스 109,110호 ",02-3412-3949 
구의역점,서울시 광진구 구의1동 252-39 ,02-447-7879 
가락시장점,서울시 송파구 가락동 97-8 104호 ,02-501-9192 
답십리역점,서울시 성동구 용답동 58-6번지 ,02-2242-2127 
군자역점,서울시 광진구 능동 222-10 ,02-447-3391 
동대문점,서울시 중구 광희동1가 143-2 뉴금호타워 1층 ,02-2285-2004 
동묘역점,서울시 종로구 종로 350(숭인동) ,02-2235-1120 
광장동점,서울시 광진구 광장동 320-15 ,02-456-3425 
신림점,서울시 관악구 신림동길 5 ,02-812-1515 
충정로점,서울시 중구 중림동 1154 더플레이스 1층 ,02-364-5849 
종로관철점,서울시 종로구 관철동 19-19 ,02-737-5849 
낙원점,서울시 종로구 낙원동 235-5 ,02-766-8694 
보라매역점,서울시 동작구 대방동 400-5 ,02-823-3989 
보라매직영점,"서울시 영등포구 신풍로122, 1층 (신길동) ",02-847-3989 
둔촌역점,서울시 강동구 양재대로89가길 6(성내동) ,02-477-5849 
관악미성점,서울시 관악구 신림동 606-5 1층 ,02-866-2656 
위례우남역점,경기 성남시 수정구 위례서일로3길 4-6(창곡동) ,031-755-5849 
경복궁역점,서울특별시 종로구 내자동 30 ,02-738-5849 
길동역점,서울시 강동구 길동 414-1 ,02-476-0002 
위례중앙점,경기도 성남시 수정구 위례순환로4길 26(위례동) ,031-722-5849 
경희대점,서울시 동대문구 회기로 152 (회기동) ,02-959-5849 
영등포2호점,서울시 영등포구 영중로4길 18 1층(영등포동) ,02-2636-6262 
영등포1호점,서울시 영등포구 영등포동 3가 9-23 ,02-2636-5959 
인덕원동편점,경기도 안양시 동안구 동편로20번길28 102호(관양동) ,031-424-5849 
인덕원점,"경기도 안양시 동안구 인덕원로24번길 53, 1층(관양동) ",031-425-5848 
굽은다리역점,서울시 강동구 명일동 344-16 ,02-3426-5849 
성남종합운동장점,경기도 성남시 중원구 광명로 86-4(성남동) ,031-751-5849 
독산점,서울시 금천구 독산4동 285-23 ,02-858-0156 
판교테크노밸리점,경기도 성남시 분당구 삼평동 670 유스페이스 1B동 1층 ,031-628-1008 
영등포구청역점,서울시 영등포구 당산동2가 164 ,02-3667-5849 
남한산성역점,경기도 성남시 중원구 산성대로 4669(금광동) ,031-731-5900 
단대오거리점,경기도 성남시 중원구 금광동 15 ,031-735-5849 
야탑2호점,경기도 성남시 분당구 야탑로 105번길 17 인제빌딩 (야탑동) ,031-781-0018 
하대원점,경기도 성남시 중원구 하대원동 132-8 ,031-721-5845 
정릉점,서울시 성북구 정릉1동 227-33 ,02-942-5849 
망우점,서울시 중랑구 망우동 357-15 ,02-493-6464 
석계역점,서울시 성북구 석관동 132-15 ,02-960-6191 
