Branch,Address,Tel,Location
강남1호점,서울시 서초구 서초대로73길 42(서초동) ,02-595-5849 ,"127.0244570, 37.5012293"
선정릉점,서울특별시 강남구 봉은사로57길 5(삼성동) ,02-543-5849 ,"127.0451360, 37.5112143"
한남오거리점,서울시 용산구 한남대로 21길 32(한남동) ,02-797-1231 ,"127.0063017, 37.5334689"
일원점,서울시 강남구 일원로 9길 55(일원동) ,02-3412-0070 ,"127.0859860, 37.4907614"
뚝섬역점,서울시 성동구 상원1길 42(성수동) ,02-468-7535 ,"127.0471344, 37.5470048"
수서역점,"서울시 강남구 수서동 716 사이룩스 109,110호 ",02-3412-3949 ,"127.1041957, 37.4884576"
구의역점,서울시 광진구 구의1동 252-39 ,02-447-7879 ,"127.0840358, 37.5376393"
가락시장점,서울시 송파구 가락동 97-8 104호 ,02-501-9192 ,"127.1184284, 37.4948578"
답십리역점,서울시 성동구 용답동 58-6번지 ,02-2242-2127 ,"127.0533574, 37.5643802"
군자역점,서울시 광진구 능동 222-10 ,02-447-3391 ,"127.0804468, 37.5560865"
동대문점,서울시 중구 광희동1가 143-2 뉴금호타워 1층 ,02-2285-2004 ,"127.0063878, 37.5656293"
동묘역점,서울시 종로구 종로 350(숭인동) ,02-2235-1120 ,"127.0164185, 37.5729857"
광장동점,서울시 광진구 광장동 320-15 ,02-456-3425 ,"127.1080094, 37.5471523"
신림점,서울시 관악구 신림동길 5 ,02-812-1515 ,"126.9281800, 37.4873443"
충정로점,서울시 중구 중림동 1154 더플레이스 1층 ,02-364-5849 ,"126.9660587, 37.5589817"
종로관철점,서울시 종로구 관철동 19-19 ,02-737-5849 ,"126.9847754, 37.5692890"
낙원점,서울시 종로구 낙원동 235-5 ,02-766-8694 ,"126.9885839, 37.5723404"
보라매역점,서울시 동작구 대방동 400-5 ,02-823-3989 ,"126.9208381, 37.4997029"
보라매직영점,"서울시 영등포구 신풍로122, 1층 (신길동) ",02-847-3989 ,"126.9197477, 37.4997374"
둔촌역점,서울시 강동구 양재대로89가길 6(성내동) ,02-477-5849 ,"127.1347396, 37.5263098"
관악미성점,서울시 관악구 신림동 606-5 1층 ,02-866-2656 ,"126.9182265, 37.4748960"
위례우남역점,경기 성남시 수정구 위례서일로3길 4-6(창곡동) ,031-755-5849 ,"127.1388352, 37.4652056"
경복궁역점,서울특별시 종로구 내자동 30 ,02-738-5849 ,"126.9706053, 37.5764165"
길동역점,서울시 강동구 길동 414-1 ,02-476-0002 ,"127.1377495, 37.5372297"
위례중앙점,경기도 성남시 수정구 위례순환로4길 26(위례동) ,031-722-5849 ,"127.1497905, 37.4696623"
경희대점,서울시 동대문구 회기로 152 (회기동) ,02-959-5849 ,"127.0531198, 37.5910749"
