장소ID, 장소명, 도로명주소, 장소상세설명, 유저ID, 위도, 경도, 등록일시, 수정일시, 지번주소, 사용여부
289,하고수동해수욕장,,해안도로를 따라서 자전거 타기,,33.4973684,126.9460835,2018-05-31,2018-05-31,제주특별자치도 제주시 우도면 연평리 2609,
282,공항,제주특별자치도 제주시 다호6길 15,도착,,33.4991412,126.4940957,2018-05-30,2018-05-30,제주특별자치도 제주시 용담2동 1869-2,
283,애월 해안도로,제주특별자치도 제주시 다호6길 15,바다를 먹고 달리자,,33.4796117,126.4164854,2018-05-30,2018-05-30,제주특별자치도 제주시 애월읍 하귀1리 709,
294,비자림,,ㅇㅇ,,33.4804255,126.8071463,2018-05-31,2018-05-31,제주특별자치도 제주시 구좌읍 평대리 3017,
292,교래자연휴양림,제주특별자치도 제주시 남조로 2023 교래자연휴양림,ㄴㄴ,,33.4374471,126.6618011,2018-05-31,2018-05-31,제주특별자치도 제주시 조천읍 교래리 산119,
293,이호해수욕장,,ㅇㅇ,,33.4851838,126.4605029,2018-05-31,2018-05-31,제주특별자치도 제주시 노형동 3744-4,
295,제주허브동산,,허브동산,,33.324744,126.8152373,2018-05-31,2018-05-31,제주특별자치도 서귀포시 표선면 표선리 2530,
296,한라수목원,,연동,,33.4695392,126.4907231,2018-05-31,2018-05-31,제주특별자치도 제주시 연동 996-2,
297,비자림,,비자림 숲걷기 ,,33.4612383,126.798932,2018-05-31,2018-05-31,제주특별자치도 제주시 구좌읍 송당리 산218,
298,절물자연휴양림 ,,장생이 숲길 ,,33.4243152,126.631174,2018-05-31,2018-05-31,제주특별자치도 제주시 조천읍 교래리 산137-29,
300,협재해수욕장,,하얀백사장 ,,33.3807275,126.2296422,2018-05-31,2018-05-31,제주특별자치도 제주시 한림읍 금능리 1188,
306,용왕난드르향토음식,제주특별자치도 서귀포시 대평감산로 8,향토음식,,33.2354175,126.3669632,2018-06-01,2018-06-01,제주특별자치도 서귀포시 안덕면 창천리 876-11,
308,안거리밖거리,제주특별자치도 서귀포시 솔동산로 6-1,"옥돔,돔베고기 나오는집",,33.2442563,126.5641243,2018-06-01,2018-06-01,제주특별자치도 서귀포시 송산동 584-3,
315,협재 해조대팬션 ,제주특별자치도 제주시 연북로 218 신화위더스빌 더샵,제주 4.5일차 ,,33.3938012,126.2405959,2018-06-03,2018-06-03,제주특별자치도 제주시 한림읍 협재리 1750-4,
312,코코비치 리조트,제주특별자치도 서귀포시 태평로92번길 37 코코비치리조트,숙박,,33.2410482,126.5316374,2018-06-01,2018-06-01,제주특별자치도 서귀포시 대륜동 1616-8,
313,비스타케이월드컵,제주특별자치도 서귀포시 김정문화로41번길 10-6 비스타케이호텔,숙소,,33.2519324,126.5097695,2018-06-01,2018-06-01,제주특별자치도 서귀포시 대륜동 745-1,
314,제주공항,,도착,,33.4865985,126.5135292,2018-06-03,2018-06-03,제주특별자치도 제주시 오라동 1469-7,
316,비양도,제주특별자치도 제주시 연북로 218 신화위더스빌 더샵,자전거여행,,33.4050299,126.2299065,2018-06-03,2018-06-03,제주특별자치도 제주시 한림읍 협재리 1750-4,
317,우도,제주특별자치도 제주시 연북로 218 신화위더스빌 더샵,버스투어,,33.501354,126.9576638,2018-06-03,2018-06-03,제주특별자치도 제주시 우도면 연평리 1554-1,
318,제주당처물동굴,,문화유산,,33.5573044,126.7855995,2018-06-03,2018-06-03,제주특별자치도 제주시 구좌읍 월정리 803,
320,동복어촌체험장,,소라,,33.5556929,126.7188708,2018-06-03,2018-06-03,제주특별자치도 제주시 구좌읍 동복리 687-7,
324,옐로우 스토어,제주특별자치도 제주시 거문오름길 23-58,사려니 숲길 맛집,,33.4255439,126.657114,2018-06-05,2018-06-05,제주특별자치도 제주시 조천읍 교래리 732-3,
325,흙돼지박스,제주특별자치도 서귀포시 신양로 100,섭지코지 흙돼지 도시락,,33.436379,126.9203815,2018-06-05,2018-06-05,제주특별자치도 서귀포시 성산읍 고성리 203-5,
326,흑돼지천국,제주특별자치도 서귀포시 이어도로 137 갈치명가횟집,흑돼지 무한 리필,,33.2397517,126.4370133,2018-06-05,2018-06-05,제주특별자치도 서귀포시 중문동 2066-1,
331,숲애,,칼국수집,,33.4355237,126.672805,2018-06-05,2018-06-05,제주특별자치도 제주시 조천읍 교래리 산56,
332,함덕그때그집,,흑돼지구이,,33.5285763,126.6715858,2018-06-05,2018-06-05,제주특별자치도 제주시 조천읍 함덕리 759,
333,삼다공원,제주특별자치도 제주시 연사3길 14 오라뜨래별아파트,야간콘서트,,33.4878991,126.5118267,2018-06-05,2018-06-05,제주특별자치도 제주시 오라동 1477,
334,예스렌트카,제주특별자치도 제주시 연사3길 14 오라뜨래별아파트,렌트카,,33.476021,126.4406514,2018-06-05,2018-06-05,제주특별자치도 제주시 애월읍 광령리 1637,
335,제주공항,제주특별자치도 제주시 다호6길 15,공항,,33.4975929,126.4941274,2018-06-05,2018-06-05,제주특별자치도 제주시 용담2동 1807-1,
336,소다공,제주특별자치도 서귀포시 중산간동로 3235,옥돔파스타,,33.4491429,126.8801582,2018-06-05,2018-06-05,제주특별자치도 서귀포시 성산읍 수산리 1292-1,
337,도착,,3시 도착,,33.4961157,126.4982644,2018-06-05,2018-06-05,제주특별자치도 제주시 연동 98-2,
344,제주공항,,도착,,33.4844715,126.485999,2018-06-07,2018-06-07,제주특별자치도 제주시 노형동 943,
345,제주한화리조트,,ㅇ,,33.4438594,126.6264306,2018-06-07,2018-06-07,제주특별자치도 제주시 봉개동 산65,
229,123,제주특별자치도 서귀포시 영실로 492,123,,33.3660473,126.5472244,2018-01-18,2018-01-18,제주특별자치도 서귀포시 남원읍 하례리 산1-7,
230,asdf,,asdf,,33.3975809,126.4491602,2018-01-18,2018-01-18,제주특별자치도 제주시 애월읍 광령리 산182-1,
231,123,,123,,33.3981988,126.5248519,2018-01-18,2018-01-18,제주특별자치도 제주시 오라동 산107-20,
232,sdaf,,asdf,,33.4016076,126.5179318,2018-01-18,2018-01-18,제주특별자치도 제주시 오라동 산107,
