TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,CANCL_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
소인국테마파크 - 입장권,,,0,0,,7000,,3,,,2019-11-18 오후 11:36:53,2019-11-20 오후 3:19:04,2,1,1,2019-11-20,카드,23000
에코랜드-입장권,,,0,0,,12200,,3,,,2019-11-20 오전 7:57:39,2019-11-21 오후 1:22:56,6,1,2,2019-11-21,카드,101900
에코랜드-입장권,,,0,0,,12200,,3,,,2019-11-10 오전 8:07:19,2019-11-23 오전 10:04:49,5,0,0,2019-11-23,카드,61000
소인국테마파크 - 입장권,,,0,0,,7000,,3,,,2019-11-21 오후 4:22:48,2019-11-23 오후 1:18:04,3,0,1,2019-11-23,카드,25000
제주민속촌,,,0,0,,8800,,3,,,2019-11-21 오후 4:22:48,2019-11-23 오후 3:21:56,4,0,1,2019-11-23,카드,40500
휴애리 - 관람,,,0,0,,11700,,3,,,2019-11-22 오전 9:34:59,2019-11-23 오후 3:38:03,5,0,0,2019-11-23,카드,58500
JSR실탄사격장-실탄사격,,,0,0,,25000,,3,,,2019-11-22 오후 1:29:38,2019-11-23 오후 4:00:46,1,0,1,2019-11-23,카드,25000
휴애리 - 관람,,,0,0,,11700,,3,,,2019-11-21 오후 10:02:41,2019-11-24 오후 2:24:05,4,0,2,2019-11-24,카드,64800
피규어뮤지엄제주(주)-입장권,,,0,0,,10800,,3,,,2019-11-23 오전 7:41:57,2019-11-24 오후 4:55:23,2,3,0,2019-11-24,카드,48600
휴애리 - 관람,,,0,0,,11700,,3,,,2019-11-20 오후 12:18:28,2019-11-26 오후 12:49:58,1,1,0,2019-11-26,카드,21600
넥슨컴퓨터박물관-입장권,,,0,0,,7500,,3,,,2019-11-25 오후 2:26:25,2019-11-26 오후 1:17:34,1,0,1,2019-11-26,카드,13000
그리스신화박물관+트릭아이뮤지엄 세트상품,,,0,0,,9500,,3,,,2019-11-25 오전 9:32:31,2019-11-26 오후 2:53:10,2,1,1,2019-11-26,카드,36000
에코랜드-입장권,,,0,0,,12200,,3,,,2019-11-20 오후 11:07:31,2019-11-26 오후 4:23:18,2,0,3,2019-11-26,카드,51400
산방산탄산온천 입장권,,,0,0,,8800,,3,,,2019-11-02 오후 3:36:54,2019-11-27 오후 1:47:10,2,0,0,2019-11-27,카드,17600
다이나믹메이즈에피소드3-입장권,,,0,0,,9000,,3,,,2019-11-27 오전 8:47:18,2019-11-28 오후 3:00:11,1,1,1,2019-11-28,카드,27000
산방산탄산온천 입장권,,,0,0,,8800,,3,,,2019-11-26 오전 11:35:13,2019-11-29 오전 9:38:46,4,0,0,2019-11-29,카드,35200
에코랜드-입장권,,,0,0,,12200,,3,,,2019-11-17 오후 9:47:00,2019-11-29 오전 10:46:07,5,0,0,2019-11-29,카드,61000
여미지식물원-입장료,,,0,0,,9250,,3,,,2019-11-26 오전 10:15:57,2019-11-29 오후 12:00:19,4,0,0,2019-11-29,카드,37000
여미지식물원-입장료,,,0,0,,9250,,3,,,2019-11-27 오전 11:57:07,2019-11-29 오후 2:44:24,2,2,0,2019-11-29,카드,31450
탐라승마장 - 숲터널 코스,,,0,0,,15000,,3,,,2019-11-28 오후 11:05:29,2019-11-30 오후 3:20:45,1,0,1,2019-11-30,카드,30000
에코랜드-입장권,,,0,0,,12200,,3,,,2019-11-27 오전 11:57:07,2019-11-30 오후 3:30:42,2,2,0,2019-11-30,카드,45800
제주테마조각공원 - 러브랜드 입장권,,,0,0,,9500,,3,,,2019-11-29 오후 6:13:46,2019-11-30 오후 10:58:10,2,0,0,2019-11-30,카드,19000
아쿠아플라넷 제주-종합권,,,0,0,,27900,,3,,,2019-11-29 오전 9:24:12,2019-12-01 오전 10:28:26,10,0,0,2019-12-01,카드,279000
본태박물관-입장권,,,0,0,,17000,,3,,,2019-12-01 오전 10:44:13,2019-12-02 오후 3:04:09,6,0,0,2019-12-02,카드,102000
