TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,REGIST_DT,EVL_SCORE_VALUE
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-01-06 오후 11:41:04,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-01-11 오후 12:52:13,5
카멜리아힐,서귀포 서부,제주특별자치도 서귀포시 안덕면 병악로 166 ,33.2900444,126.368349,테마공원,6500,,3,,PC,2021-02-05 오후 4:26:46,4
제주돌문화공원,제주시 동부,제주특별자치도 제주시 조천읍 남조로 2023 ,33.4486627,126.6589493,테마공원,4500,,3,,PC,2021-02-08 오후 2:30:58,5
송당승마장-단거리,제주시 동부,제주특별자치도 제주시 구좌읍 번영로 2015 ,33.4358907,126.7377234,스포츠/레저,6000,,3,,PC,2021-02-08 오후 2:31:36,3
흑돼지돈까스 뷔페 밀라네사,제주 시내권,제주특별자치도 제주시 도련일동 1751-7 URBANE 건물 1층,33.5099181,126.5904997,맛집,13900,,3,,PC,2021-02-08 오후 2:32:09,5
제주공룡랜드,제주시 서부,제주특별자치도 제주시 애월읍 광령평화2길 1 ,33.4408969,126.4345309,테마공원,7800,,3,,PC,2021-02-23 오후 12:07:01,5
세계자동차&피아노박물관,서귀포 서부,제주특별자치도 서귀포시 안덕면 상창리 2065-4 ,33.2832125,126.3499173,전시/박물관,11500,,3,,PC,2021-02-23 오후 12:10:06,5
브릭캠퍼스 입장권,제주 시내권,제주특별자치도 제주시 1100로 3047 브릭캠퍼스,33.458546,126.48529,전시/박물관,13500,,3,,PC,2021-02-23 오후 12:11:48,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-03-04 오후 9:11:16,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-03-19 오전 11:01:45,5
생각하는정원,제주시 서부,제주특별자치도 제주시 한경면 녹차분재로 675 ,33.3255845,126.2550051,테마공원,11000,,3,,PC,2021-03-28 오후 4:35:09,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-04-02 오전 10:20:17,5
세계자동차&피아노박물관,서귀포 서부,제주특별자치도 서귀포시 안덕면 상창리 2065-4 ,33.2832125,126.3499173,전시/박물관,11500,,3,,PC,2021-04-09 오전 9:25:59,5
삼성혈,제주 시내권,제주특별자치도 제주시 삼성로 22 ,33.5047027,126.529358,테마공원,2250,,3,,PC,2021-04-09 오후 3:15:21,4
상효원,중문/서귀포,제주특별자치도 서귀포시 산록남로 2847-37 ,33.3072182,126.5860938,테마공원,8000,,3,,PC,2021-04-09 오후 3:18:22,4
수목원:아이스뮤지엄+3D착시아트+5D영상관+VR체험1회,제주 시내권,제주특별자치도 제주시 은수길 69 수목원테마파크,33.4706513,126.4882169,테마공원,13000,,3,,MOBILE,2021-04-09 오후 8:22:32,5
[OK마사지]전신 안마 + 디톡스 족욕,제주 시내권,제주특별자치도 제주시 노연로 114-1 3층 ,33.4855847,126.492429,뷰티/테라피,39000,,3,,MOBILE,2021-04-10 오전 7:56:57,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-04-16 오후 3:38:28,5
김녕요트투어,제주시 동부,제주특별자치도 제주시 구좌읍 구좌해안로 229-16 김녕요트투어,33.5582487,126.7372615,해양관광,48000,,3,,MOBILE,2021-04-19 오후 7:58:48,5
제주레일파크㈜ - 레일바이크(2인승),제주시 동부,제주특별자치도 제주시 구좌읍 종달리 4639 ,33.4646743,126.8369662,스포츠/레저,23000,,3,,MOBILE,2021-04-27 오후 11:05:02,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-05-02 오전 9:31:27,4
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-05-03 오전 1:04:03,5
제주레일파크㈜ - 레일바이크(2인승),제주시 동부,제주특별자치도 제주시 구좌읍 종달리 4639 ,33.4646743,126.8369662,스포츠/레저,23000,,3,,MOBILE,2021-05-08 오후 11:02:21,4
제주민속촌,서귀포 동부,제주특별자치도 서귀포시 표선면 민속해안로 631-34 ,33.3245597,126.8421344,테마공원,8800,,3,,PC,2021-05-12 오전 11:32:15,5
휴애리,중문/서귀포,제주특별자치도 서귀포시 남원읍 신례천로 330 ,33.3082058,126.6332605,테마공원,11700,,3,,MOBILE,2021-05-13 오후 6:58:29,5
[이벤트]카멜리아힐 1+1,서귀포 서부,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,33.2901402,126.3683652,테마공원,6500,,3,,PC,2021-05-17 오후 1:19:23,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-05-17 오후 10:37:20,5
카멜리아힐,서귀포 서부,제주특별자치도 서귀포시 안덕면 병악로 166 ,33.2900444,126.368349,테마공원,5000,,3,,PC,2021-05-18 오전 10:57:48,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-05-19 오후 4:57:38,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-05-20 오후 5:14:04,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-05-20 오후 5:28:21,5
제주 스카이워터쇼 (워터서커스),제주시 동부,제주특별자치도 제주시 구좌읍 번영로 2172-80 ,33.4239986,126.7437738,공연/쇼,12000,,3,,PC,2021-05-21 오전 9:13:47,4
[이벤트]카멜리아힐 1+1,서귀포 서부,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,33.2901402,126.3683652,테마공원,6500,,3,,PC,2021-05-21 오전 11:21:32,5
