TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2020-12-10 오후 4:45:00,2,0,0,2021-01-01 오전 10:04:14,빌링(LG),36400
자유이용권(허브동산),동부권,제주특별자치도 서귀포시 표선면 돈오름로 170 허브동산,0,0,,,,3,,,2020-12-30 오후 1:53:00,2,0,0,2021-01-01 오전 10:43:32,빌링(LG),19800
에코랜드 입장권,동부권,제주특별자치도 제주시 조천읍 번영로 1278-169 에코랜드,0,0,테마파크,,,3,,,2020-12-31 오전 8:41:00,2,0,0,2021-01-01 오전 10:57:14,카드,24400
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-01 오전 11:01:00,2,0,0,2021-01-01 오전 11:05:23,빌링(LG),13000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-01-01 오전 11:26:00,2,0,0,2021-01-01 오전 11:31:56,카드,13000
자유이용권(휴애리㈜),동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,,,,3,,,2020-12-10 오후 4:45:00,2,0,0,2021-01-01 오후 1:06:01,빌링(LG),36400
이어도승마장-A코스 이용권,동부권,제주특별자치도 서귀포시 성산읍 서성일로 269 이어도승마장,0,0,레저/체험/액티비티,,,3,,,2021-01-01 오전 7:11:00,2,0,0,2021-01-01 오후 1:59:19,채널결제,42000
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-01 오전 7:12:00,3,0,0,2021-01-01 오후 2:16:00,빌링(LG),19500
자유이용권(JSR제주실탄사격장),중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 2:44:43,빌링(LG),95500
자유이용권(제주민속촌),동부권,제주특별자치도 서귀포시 표선면 민속해안로 631-34 제주민속촌,0,0,,,,3,,,2021-01-01 오전 10:05:00,2,0,0,2021-01-01 오후 2:46:46,빌링(LG),17600
허브동산(주 야간통합) 입장권,동부권,제주특별자치도 서귀포시 표선면 돈오름로 170 허브동산,0,0,테마파크,,,3,,,2020-12-31 오전 8:41:00,2,0,0,2021-01-01 오후 2:47:51,카드,19800
자유이용권(JSR제주실탄사격장),중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 2:59:37,빌링(LG),95500
자유이용권(제주러브랜드),제주시내권,제주특별자치도 제주시 1100로 2894-72 ㈜제주테마조각공원(제주러브랜드),0,0,,,,3,,,2021-01-01 오전 11:35:00,2,0,0,2021-01-01 오후 2:59:53,빌링(LG),19000
자유이용권(건강과성박물관),서부권,제주특별자치도 서귀포시 안덕면 일주서로 1611 ㈜에스메카(건강과성박물관),0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 3:18:57,빌링(LG),95500
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2020-12-30 오후 4:15:00,2,0,0,2021-01-01 오후 3:49:39,빌링(LG),13000
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 4:12:54,빌링(LG),95500
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-01 오후 5:03:00,2,0,0,2021-01-01 오후 5:08:51,빌링(LG),39600
자유이용권((주)제주불빛정원),제주시내권,제주특별자치도 제주시 애월읍 평화로 2346 (주)제주불빛정원,0,0,,,,3,,,2020-12-31 오전 11:29:00,2,0,0,2021-01-01 오후 5:53:08,빌링(LG),19400
JSR제주실탄사격장-실탄사격 이용권,중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,레저/체험/액티비티,,,3,,,2021-01-02 오전 9:37:00,1,0,0,2021-01-02 오전 10:04:33,채널결제,25000
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-02 오전 7:36:00,2,0,0,2021-01-02 오전 10:26:14,빌링(LG),13000
퍼시픽랜드-마린스테이지 관람권,제주시내권,제주특별자치도 서귀포시 중문관광로 154-17 퍼시픽랜드,0,0,쇼/공연/상영관,,,3,,,2021-01-02 오전 11:06:00,2,2,0,2021-01-02 오전 11:06:46,카드,44000
자유이용권(방림원),서부권,제주특별자치도 제주시 한경면 용금로 864 방림원,0,0,,,,3,,,2021-01-02 오전 9:52:00,2,0,0,2021-01-02 오전 11:33:30,빌링(LG),10000
자유이용권(번개체험과학관),중문/서귀포,제주특별자치도 서귀포시 516로 415-36 에스케이엘이씨(주) (번개체험과학관),0,0,,,,3,,,2021-01-01 오후 5:05:00,2,0,0,2021-01-02 오전 11:36:00,빌링(LG),84000
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2021-01-01 오후 1:44:00,2,2,0,2021-01-02 오전 11:58:33,빌링(LG),36100
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2020-12-30 오후 1:53:00,2,0,0,2021-01-02 오후 12:08:29,빌링(LG),42600
차귀도달래배낚시-주간낚시 이용권,서부권,제주특별자치도 제주시 한경면 고산리 3616-10 차귀도달래배낚시,0,0,레저/체험/액티비티,,,3,,,2020-12-23 오후 3:07:00,2,0,0,2021-01-02 오후 12:17:15,카드,24000
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2020-12-31 오전 11:29:00,2,0,0,2021-01-02 오후 12:23:48,빌링(LG),37900
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2020-12-24 오전 7:40:00,2,0,0,2021-01-02 오후 12:47:34,빌링(LG),30400
박물관은살아있다 입장권,중문/서귀포,제주특별자치도 서귀포시 중문관광로 42 박물관은살아있다,0,0,전시/박물관,,,3,,,2021-01-02 오후 1:25:00,1,1,0,2021-01-02 오후 1:32:57,카드,17000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2020-12-31 오전 8:41:00,2,0,0,2021-01-02 오후 1:52:41,카드,13000
