"행정구역","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율"
"서울특별시  (1100000000)","9,424,873","4,447,861","          2.12","4,567,739","4,857,134","          0.94"
"서울특별시 종로구 (1111000000)","141,223","72,479","          1.95","68,314","72,909","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,600","5,129","          2.26","5,327","6,273","          0.85"
"서울특별시 종로구 사직동(1111053000)","9,131","4,592","          1.99","4,064","5,067","          0.80"
"서울특별시 종로구 삼청동(1111054000)","2,325","1,144","          2.03","1,110","1,215","          0.91"
"서울특별시 종로구 부암동(1111055000)","9,198","4,123","          2.23","4,361","4,837","          0.90"
"서울특별시 종로구 평창동(1111056000)","17,636","7,253","          2.43","8,224","9,412","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,012","3,013","          2.66","3,705","4,307","          0.86"
"서울특별시 종로구 교남동(1111058000)","9,794","4,382","          2.24","4,506","5,288","          0.85"
"서울특별시 종로구 가회동(1111060000)","3,962","1,943","          2.04","1,830","2,132","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,732","4,927","          1.37","4,100","2,632","          1.56"
"서울특별시 종로구 종로5.6가동(1111063000)","5,309","3,530","          1.50","2,791","2,518","          1.11"
"서울특별시 종로구 이화동(1111064000)","7,085","4,295","          1.65","3,363","3,722","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,052","9,137","          1.76","7,714","8,338","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,649","2,702","          1.72","2,468","2,181","          1.13"
"서울특별시 종로구 창신제2동(1111068000)","7,687","3,997","          1.92","3,948","3,739","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,448","2,773","          2.33","3,173","3,275","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,775","2,970","          1.94","2,783","2,992","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,828","6,569","          1.50","4,847","4,981","          0.97"
"서울특별시 중구 (1114000000)","120,317","63,123","          1.91","58,443","61,874","          0.94"
"서울특별시 중구 소공동(1114052000)","2,221","1,268","          1.75","1,058","1,163","          0.91"
"서울특별시 중구 회현동(1114054000)","4,537","2,563","          1.77","2,353","2,184","          1.08"
"서울특별시 중구 명동(1114055000)","2,721","1,445","          1.88","1,178","1,543","          0.76"
"서울특별시 중구 필동(1114057000)","3,946","2,418","          1.63","2,047","1,899","          1.08"
"서울특별시 중구 장충동(1114058000)","4,543","2,812","          1.62","2,392","2,151","          1.11"
