대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,2.1971823E7,26.8,2415221.0,11.0
쇼핑업,대형쇼핑몰,2.1971823E7,26.8,2894426.0,13.2
쇼핑업,레저용품쇼핑,2.1971823E7,26.8,3869336.0,17.6
쇼핑업,면세점,2.1971823E7,26.8,1.279284E7,58.2
숙박업,기타숙박,1.3054081E7,15.9,3196428.0,24.5
숙박업,캠핑장/펜션,1.3054081E7,15.9,27594.0,0.2
숙박업,콘도,1.3054081E7,15.9,3640751.0,27.9
숙박업,호텔,1.3054081E7,15.9,6189308.0,47.4
식음료업,식음료,3.4440681E7,42.0,3.4440681E7,100.0
여가서비스업,골프장,6375304.0,7.8,4335940.0,68.0
여가서비스업,관광유원시설,6375304.0,7.8,653892.0,10.3
여가서비스업,기타레저,6375304.0,7.8,326074.0,5.1
여가서비스업,문화서비스,6375304.0,7.8,1059399.0,16.6
여행업,여행업,436051.0,0.5,436051.0,100.0
운송업,렌터카,5700074.0,7.0,1368239.0,24.0
운송업,수상운송,5700074.0,7.0,274625.0,4.8
운송업,육상운송,5700074.0,7.0,33160.0,0.6
운송업,항공운송,5700074.0,7.0,4024050.0,70.6
