연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
201801,관광 민예품 및 선물용품 소매업,내국인,남성,8689,9383,313332360
201801,관광 민예품 및 선물용품 소매업,내국인,알수없음,5,5,467000
201801,관광 민예품 및 선물용품 소매업,내국인,여성,10345,11246,330131900
201801,관광 민예품 및 선물용품 소매업,중국,알수없음,5,5,1207250
201801,그외 기타 분류안된 오락관련 서비스업,내국인,남성,39,43,2346000
201801,그외 기타 분류안된 오락관련 서비스업,내국인,알수없음,1,1,110000
201801,그외 기타 분류안된 오락관련 서비스업,내국인,여성,24,24,1098000
201801,기타 수상오락 서비스업,내국인,남성,10,10,1552000
201801,기타 수상오락 서비스업,내국인,여성,1,1,36000
201801,기타 외국식 음식점업,내국인,남성,3344,3455,119065520
201801,기타 외국식 음식점업,내국인,알수없음,5,5,210500
201801,기타 외국식 음식점업,내국인,여성,1878,1923,64450720
201801,비알콜 음료점업,내국인,남성,20174,21610,220615737
201801,비알콜 음료점업,내국인,알수없음,47,53,468600
201801,비알콜 음료점업,내국인,여성,22535,24200,251751473
201801,비알콜 음료점업,중국,알수없음,2,2,43800
201801,빵 및 과자류 소매업,내국인,남성,16139,17266,239482608
201801,빵 및 과자류 소매업,내국인,알수없음,57,63,644350
201801,빵 및 과자류 소매업,내국인,여성,19004,20307,280109307
201801,빵 및 과자류 소매업,중국,알수없음,8,8,82850
201801,서양식 음식점업,내국인,남성,27545,29977,692356218
201801,서양식 음식점업,내국인,알수없음,38,41,787310
201801,서양식 음식점업,내국인,여성,34672,38073,755113049
201801,서양식 음식점업,중국,알수없음,3,3,32500
201801,스포츠 및 레크레이션 용품 임대업,내국인,남성,3686,4043,326641260
201801,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,13,15,2435700
201801,스포츠 및 레크레이션 용품 임대업,내국인,여성,2207,2443,222127930
201801,스포츠 및 레크레이션 용품 임대업,중국,알수없음,34,40,6138400
201801,일식 음식점업,내국인,남성,9391,9507,768310714
201801,일식 음식점업,내국인,알수없음,11,12,1042600
201801,일식 음식점업,내국인,여성,6912,7017,464991272
201801,일식 음식점업,중국,알수없음,1,1,132000
201801,중식 음식점업,내국인,남성,7114,7350,206084000
201801,중식 음식점업,내국인,알수없음,12,12,1172500
201801,중식 음식점업,내국인,여성,3476,3564,102997930
201801,중식 음식점업,중국,알수없음,2,2,78000
