연도,월,읍면동명,업종명,이용금액,방문자수,중국인,중국 외,외국인
2018,01,건입동,외국음식,9036400,57061,30589.44,32542.06,63131.5
2018,01,건입동,음료,8264020,57061,30589.44,32542.06,63131.5
2018,01,건입동,양식,66781910,57061,30589.44,32542.06,63131.5
2018,01,건입동,일식,86571700,57061,30589.44,32542.06,63131.5
2018,01,건입동,중식,10550000,57061,30589.44,32542.06,63131.5
2018,01,건입동,패스트푸드,20881940,57061,30589.44,32542.06,63131.5
2018,01,건입동,한식,607239038,57061,30589.44,32542.06,63131.5
2018,01,구좌읍,외국음식,1022000,63235,26691.16,14845.87,41537.03
2018,01,구좌읍,음료,45749350,63235,26691.16,14845.87,41537.03
2018,01,구좌읍,양식,156232410,63235,26691.16,14845.87,41537.03
2018,01,구좌읍,일식,32874000,63235,26691.16,14845.87,41537.03
2018,01,구좌읍,중식,15229036,63235,26691.16,14845.87,41537.03
2018,01,구좌읍,패스트푸드,9005450,63235,26691.16,14845.87,41537.03
2018,01,구좌읍,한식,719303790,63235,26691.16,14845.87,41537.03
2018,01,남원읍,외국음식,4998000,54559,179846.03,22754.32,202600.35
2018,01,남원읍,음료,5110800,54559,179846.03,22754.32,202600.35
2018,01,남원읍,양식,48084140,54559,179846.03,22754.32,202600.35
2018,01,남원읍,일식,64090500,54559,179846.03,22754.32,202600.35
2018,01,남원읍,중식,16013500,54559,179846.03,22754.32,202600.35
2018,01,남원읍,패스트푸드,11932060,54559,179846.03,22754.32,202600.35
2018,01,남원읍,한식,467551076,54559,179846.03,22754.32,202600.35
2018,01,노형동,외국음식,124692500,354703,145583.19,31173.26,176756.45
2018,01,노형동,음료,118739710,354703,145583.19,31173.26,176756.45
2018,01,노형동,양식,367671528,354703,145583.19,31173.26,176756.45
2018,01,노형동,일식,355483530,354703,145583.19,31173.26,176756.45
2018,01,노형동,중식,147718200,354703,145583.19,31173.26,176756.45
2018,01,노형동,패스트푸드,222751266,354703,145583.19,31173.26,176756.45
2018,01,노형동,한식,3693525629,354703,145583.19,31173.26,176756.45
2018,01,대륜동,외국음식,58721500,81061,22743.85,12868.88,35612.729999999996
2018,01,대륜동,음료,16939897,81061,22743.85,12868.88,35612.729999999996
2018,01,대륜동,양식,62150250,81061,22743.85,12868.88,35612.729999999996
2018,01,대륜동,일식,37512000,81061,22743.85,12868.88,35612.729999999996
2018,01,대륜동,중식,41868650,81061,22743.85,12868.88,35612.729999999996
2018,01,대륜동,패스트푸드,15140635,81061,22743.85,12868.88,35612.729999999996
2018,01,대륜동,한식,606206727,81061,22743.85,12868.88,35612.729999999996
2018,01,대정읍,외국음식,3454100,80189,18883.03,16457.94,35340.97
2018,01,대정읍,음료,25147190,80189,18883.03,16457.94,35340.97
2018,01,대정읍,양식,76166160,80189,18883.03,16457.94,35340.97
2018,01,대정읍,일식,83462108,80189,18883.03,16457.94,35340.97
2018,01,대정읍,중식,68216423,80189,18883.03,16457.94,35340.97
2018,01,대정읍,패스트푸드,43271750,80189,18883.03,16457.94,35340.97
2018,01,대정읍,한식,987337340,80189,18883.03,16457.94,35340.97
2018,01,대천동,외국음식,32066400,59926,7274.700000000001,5954.12,13228.82
2018,01,대천동,음료,7757280,59926,7274.700000000001,5954.12,13228.82
2018,01,대천동,양식,56211670,59926,7274.700000000001,5954.12,13228.82
2018,01,대천동,일식,55337000,59926,7274.700000000001,5954.12,13228.82
2018,01,대천동,중식,12370000,59926,7274.700000000001,5954.12,13228.82
2018,01,대천동,패스트푸드,67063980,59926,7274.700000000001,5954.12,13228.82
2018,01,대천동,한식,478965436,59926,7274.700000000001,5954.12,13228.82
2018,01,도두동,외국음식,139000,34208,50804.630000000005,35548.16,86352.79000000001
2018,01,도두동,음료,12454150,34208,50804.630000000005,35548.16,86352.79000000001
2018,01,도두동,양식,21475390,34208,50804.630000000005,35548.16,86352.79000000001
2018,01,도두동,일식,138514500,34208,50804.630000000005,35548.16,86352.79000000001
2018,01,도두동,중식,2791500,34208,50804.630000000005,35548.16,86352.79000000001
2018,01,도두동,패스트푸드,0,34208,50804.630000000005,35548.16,86352.79000000001
2018,01,도두동,한식,436646758,34208,50804.630000000005,35548.16,86352.79000000001
2018,01,동홍동,외국음식,30625000,88317,17931.52,5704.36,23635.88
2018,01,동홍동,음료,20509190,88317,17931.52,5704.36,23635.88
2018,01,동홍동,양식,36321160,88317,17931.52,5704.36,23635.88
2018,01,동홍동,일식,101977500,88317,17931.52,5704.36,23635.88
2018,01,동홍동,중식,19976200,88317,17931.52,5704.36,23635.88
2018,01,동홍동,패스트푸드,46778800,88317,17931.52,5704.36,23635.88
2018,01,동홍동,한식,741625558,88317,17931.52,5704.36,23635.88
2018,01,봉개동,외국음식,12211000,25766,6530.77,3746.76,10277.53
2018,01,봉개동,음료,4017200,25766,6530.77,3746.76,10277.53
2018,01,봉개동,양식,6122000,25766,6530.77,3746.76,10277.53
2018,01,봉개동,일식,0,25766,6530.77,3746.76,10277.53
2018,01,봉개동,중식,8348000,25766,6530.77,3746.76,10277.53
2018,01,봉개동,패스트푸드,1195900,25766,6530.77,3746.76,10277.53
2018,01,봉개동,한식,100545900,25766,6530.77,3746.76,10277.53
2018,01,삼도1동,외국음식,5021000,52219,6908.49,7421.83,14330.32
2018,01,삼도1동,음료,2217100,52219,6908.49,7421.83,14330.32
2018,01,삼도1동,양식,14161380,52219,6908.49,7421.83,14330.32
2018,01,삼도1동,일식,39741500,52219,6908.49,7421.83,14330.32
2018,01,삼도1동,중식,21638500,52219,6908.49,7421.83,14330.32
2018,01,삼도1동,패스트푸드,7006000,52219,6908.49,7421.83,14330.32
2018,01,삼도1동,한식,359860181,52219,6908.49,7421.83,14330.32
2018,01,삼도2동,외국음식,26348100,65174,54016.66,37344.21,91360.87
2018,01,삼도2동,음료,544500,65174,54016.66,37344.21,91360.87
2018,01,삼도2동,양식,26978365,65174,54016.66,37344.21,91360.87
2018,01,삼도2동,일식,6610000,65174,54016.66,37344.21,91360.87
2018,01,삼도2동,중식,30774000,65174,54016.66,37344.21,91360.87
2018,01,삼도2동,패스트푸드,8064350,65174,54016.66,37344.21,91360.87
2018,01,삼도2동,한식,647203514,65174,54016.66,37344.21,91360.87
2018,01,삼양동,외국음식,16620800,70817,5028.52,2811.91,7840.43
2018,01,삼양동,음료,23847100,70817,5028.52,2811.91,7840.43
2018,01,삼양동,양식,30001230,70817,5028.52,2811.91,7840.43
2018,01,삼양동,일식,26295500,70817,5028.52,2811.91,7840.43
2018,01,삼양동,중식,56278700,70817,5028.52,2811.91,7840.43
2018,01,삼양동,패스트푸드,46749160,70817,5028.52,2811.91,7840.43
2018,01,삼양동,한식,532720433,70817,5028.52,2811.91,7840.43
2018,01,서홍동,외국음식,20431100,28378,92267.17,11608.71,103875.88
2018,01,서홍동,음료,11734850,28378,92267.17,11608.71,103875.88
2018,01,서홍동,양식,23887750,28378,92267.17,11608.71,103875.88
2018,01,서홍동,일식,2465800,28378,92267.17,11608.71,103875.88
2018,01,서홍동,중식,18057000,28378,92267.17,11608.71,103875.88
2018,01,서홍동,패스트푸드,7063100,28378,92267.17,11608.71,103875.88
2018,01,서홍동,한식,258137400,28378,92267.17,11608.71,103875.88
