년월,시도명,읍면동명,국적,외국인유동인구수
2018-01,제주시,건입동,중국,30589.44
2018-01,제주시,건입동,중국 외,32542.06
2018-01,제주시,구좌읍,중국,26691.16
2018-01,제주시,구좌읍,중국 외,14845.87
2018-01,서귀포시,남원읍,중국,179846.03
2018-01,서귀포시,남원읍,중국 외,22754.32
2018-01,제주시,노형동,중국,145583.19
2018-01,제주시,노형동,중국 외,31173.26
2018-01,서귀포시,대륜동,중국,22743.85
2018-01,서귀포시,대륜동,중국 외,12868.880000000001
2018-01,서귀포시,대정읍,중국,18883.03
2018-01,서귀포시,대정읍,중국 외,16457.94
2018-01,서귀포시,대천동,중국,7274.700000000001
2018-01,서귀포시,대천동,중국 외,5954.12
2018-01,제주시,도두동,중국,50804.630000000005
2018-01,제주시,도두동,중국 외,35548.16
2018-01,서귀포시,동홍동,중국,17931.52
2018-01,서귀포시,동홍동,중국 외,5704.36
2018-01,제주시,봉개동,중국,6530.77
2018-01,제주시,봉개동,중국 외,3746.7599999999998
2018-01,제주시,삼도1동,중국,6908.49
2018-01,제주시,삼도1동,중국 외,7421.83
2018-01,제주시,삼도2동,중국,54016.659999999996
2018-01,제주시,삼도2동,중국 외,37344.21
2018-01,제주시,삼양동,중국,5028.5199999999995
2018-01,제주시,삼양동,중국 외,2811.91
2018-01,서귀포시,서홍동,중국,92267.17
2018-01,서귀포시,서홍동,중국 외,11608.71
2018-01,서귀포시,성산읍,중국,62966.6
2018-01,서귀포시,성산읍,중국 외,41733.71
2018-01,서귀포시,송산동,중국,2707.45
2018-01,서귀포시,송산동,중국 외,2668.11
2018-01,제주시,아라동,중국,16798.37
2018-01,제주시,아라동,중국 외,9450.26
2018-01,서귀포시,안덕면,중국,52422.16
2018-01,서귀포시,안덕면,중국 외,35871.64
2018-01,제주시,애월읍,중국,86621.6
2018-01,제주시,애월읍,중국 외,55568.13
2018-01,제주시,연동,중국,632381.92
2018-01,제주시,연동,중국 외,105681.77
2018-01,서귀포시,영천동,중국,12804.91
2018-01,서귀포시,영천동,중국 외,3301.71
2018-01,서귀포시,예래동,중국,67946.13
2018-01,서귀포시,예래동,중국 외,25243.44
2018-01,제주시,오라동,중국,10420.41
2018-01,제주시,오라동,중국 외,10707.93
2018-01,제주시,외도동,중국,2136.55
2018-01,제주시,외도동,중국 외,27453.07
2018-01,제주시,용담1동,중국,6429.84
2018-01,제주시,용담1동,중국 외,3021.06
2018-01,제주시,용담2동,중국,320103.66
