index,서귀포시 동권역,서귀포시 동부권역,서귀포시 서부권역,제주시 동권역,제주시 동부권역,제주시 서부권역
2019년 01월,40439,11093,20897,100504,8359,22777
2019년 02월,44813,12927,22510,110040,8231,23547
2019년 03월,41214,11639,27449,120242,10088,24760
2019년 04월,51692,13463,32357,148597,15054,33440
2019년 05월,55824,12416,38287,143578,13843,36881
2019년 06월,80295,13576,33042,145219,13788,34302
2019년 07월,57377,13406,37106,163768,15921,43097
2019년 08월,86110,16196,50210,224389,24826,53175
2019년 09월,60997,16148,23100,188631,17683,37016
2019년 10월,77584,19226,17853,216401,20485,43936
2019년 11월,60393,15951,14156,170899,14837,32456
2019년 12월,37227,10797,19708,93067,7725,20270
2020년 01월,32444,9424,15503,77223,6141,16853
2020년 02월,9303,2967,4534,24233,1741,5009
2020년 03월,2195,679,1344,4982,452,1235
2020년 04월,1874,643,826,4364,536,877
2020년 05월,2116,444,1245,4033,477,1250
2020년 06월,2369,491,990,3928,531,1159
2020년 07월,2331,499,1420,5083,521,2117
2020년 08월,3835,841,2231,8223,948,2596
2020년 09월,2655,618,1094,6388,748,1568
2020년 10월,3158,352,940,3109,331,1080
2020년 11월,1630,320,579,2469,205,727
2020년 12월,1714,320,573,2660,199,635
2021년 01월,1018,236,475,2251,163,653
2021년 02월,1058,336,541,2467,178,652
2021년 03월,1419,339,769,2928,220,679
2021년 04월,1307,397,782,3230,531,728
2021년 05월,1747,312,1252,3215,349,998
2021년 06월,2088,419,786,3398,420,902
2021년 07월,1594,379,916,3512,373,1313
2021년 08월,2468,523,1220,5188,701,1435
2021년 09월,2755,658,858,6884,802,1524
2021년 10월,4815,536,1380,4548,519,1628
2021년 11월,2662,519,808,3737,324,1035
2021년 12월,1714,320,573,2660,199,635
2022년 01월,1745,355,672,3218,231,794
2022년 02월,1374,465,714,3283,245,813
2022년 03월,1707,450,904,3260,296,802
2022년 04월,2040,548,923,3992,726,883
2022년 05월,2550,452,1632,4031,560,1290
2022년 06월,3570,593,1247,4949,700,1359
2022년 07월,3537,739,1763,6770,786,2394
2022년 08월,4639,891,2474,10095,1368,2770
2022년 09월,3998,891,1345,8983,1252,2016
2022년 10월,9358,1283,2646,10243,1144,3059
2022년 11월,4927,1082,1615,8200,832,1761
