행정동명,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월
,인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명)
건입동,"2,338","2,601","2,773","3,795","3,138","3,246","3,434","5,018","4,180","5,114","3,791","2,165","2,105",632,113,126,120,101,128,250,219,95,57,75,142,101,62,115,104,97,85,174,202,154,100,75,156,116,74,171,133,139,162,314,259,367,216
구좌읍,"3,733","3,830","3,908","5,785","4,773","4,473","5,137","6,509","5,900","6,166","4,434","3,268","2,742",744,183,119,147,169,162,239,234,109,66,71,66,77,82,113,123,158,124,186,239,184,100,71,89,97,113,168,196,231,240,366,391,437,280
남원읍,"3,474","5,179","3,009","2,672","3,489","3,964","3,549","4,268","4,873","6,546","6,669","3,168","2,761",916,219,86,109,138,139,185,180,114,101,78,65,126,118,58,79,112,112,108,194,154,143,78,97,158,158,87,90,155,173,196,241,224,243
노형동,"17,511","18,470","20,662","25,260","26,260","24,932","30,133","41,958","36,567","39,022","32,271","14,674","12,349","3,819",871,730,735,647,875,"1,477","1,173",475,366,385,330,379,525,560,590,555,603,913,"1,304",677,539,385,463,526,562,637,687,769,"1,124","1,680","1,563","1,435","1,215"
대륜동,"2,992","3,424","3,157","3,600","4,210","4,944","4,238","6,382","5,022","6,597","5,665","3,273","2,493",776,153,136,137,131,140,278,174,189,81,257,55,71,87,84,113,114,98,184,185,269,135,257,85,101,102,121,140,167,213,335,252,527,253
대정읍,"10,795","12,055","14,071","16,025","17,363","14,676","15,502","19,014","10,020","8,213","7,223","9,256","7,830","2,168",621,404,527,401,592,887,538,369,276,246,252,263,388,387,494,333,386,472,410,524,383,246,360,333,422,430,621,523,735,980,584,918,647
대천동,"2,902","2,880","3,522","3,353","4,160","4,115","3,466","4,930","4,380","6,393","4,546","3,385","2,686",678,245,159,133,144,133,241,164,840,121,281,55,63,145,80,108,92,92,158,173,"1,162",295,281,185,98,198,130,159,189,226,293,246,"2,211",506
도두동,"4,212","4,482","5,133","6,412","6,716","7,387","8,196","10,985","8,002","8,745","7,268","4,283","3,307","1,004",219,179,164,182,228,381,256,133,100,122,86,101,130,133,144,173,175,248,285,215,157,122,146,135,150,159,169,234,321,461,366,466,335
동홍동,"7,994","7,613","5,064","5,655","5,559","6,452","6,797","10,680","7,673","10,928","9,906","5,280","5,365","1,317",275,191,186,191,259,493,361,279,160,166,212,184,221,165,126,207,183,318,374,392,233,166,292,222,239,207,177,292,347,517,477,674,409
봉개동,983,632,"1,084","1,613","1,339","1,103","1,491","2,362","1,803","1,919","1,419",945,701,188,49,48,45,42,42,79,64,43,43,33,19,15,21,34,27,27,29,51,75,77,55,33,26,25,31,53,63,72,69,97,121,155,107
삼도1동,"4,283","5,813","5,068","6,647","6,232","5,792","6,011","8,746","6,935","8,227","6,264","3,996","3,765","1,292",178,188,168,181,228,327,233,137,96,124,100,116,103,136,142,139,149,220,262,203,157,124,150,148,109,169,185,232,288,476,377,634,351
삼도2동,"2,625","2,769","3,082","4,020","3,841","3,639","4,125","5,149","4,329","6,114","4,381","2,338","2,064",675,119,129,121,111,137,189,140,80,64,63,60,58,63,81,101,95,103,123,147,124,100,63,82,86,72,107,133,149,197,280,238,321,241
삼양동,929,610,946,"1,748","1,484","1,266","1,352","1,503","1,134","2,087","1,343",949,943,227,58,43,60,76,61,73,52,26,20,33,20,17,20,40,44,34,31,44,51,45,38,33,34,31,33,59,76,64,76,90,71,112,73
서홍동,"2,062","2,003","1,427","1,651","1,926","2,326","2,273","3,647","2,528","3,365","3,191","1,562","1,454",356,61,46,52,56,68,139,91,60,36,46,35,40,39,35,38,64,47,93,98,82,54,46,51,53,39,43,46,77,90,146,109,141,94
성산읍,"4,716","4,488","4,819","5,877","4,369","4,705","5,014","5,939","4,969","6,371","4,189","4,656","4,478","1,311",289,347,163,177,180,296,178,116,116,140,108,112,120,196,119,139,140,185,192,202,194,140,166,184,169,279,171,201,253,316,268,504,394
송산동,"2,822","3,305","2,632","3,251","3,025","3,735","3,186","4,648","3,878","4,672","3,544","2,282","2,085",698,169,121,107,110,138,240,191,163,92,88,113,90,151,101,71,106,94,155,222,248,146,88,167,115,164,137,114,173,220,282,311,469,272
