"행정구역(읍면동)별(1)","행정구역(읍면동)별(2)",세대및인구별(1),세대및인구별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"합계","소계",등록인구,한국인,-,-,-,-,-,-,-,-,670989,674635
"합계","소계",등록인구,외국인,-,-,-,-,-,-,-,-,25668,22943
"제주시","한림읍",등록인구,한국인,19376,19444,19579,19643,19827,20461,20867,21309,21365,21249
"제주시","한림읍",등록인구,외국인,618,1065,1962,2807,3145,3390,3522,3694,3715,3360
"제주시","애월읍",등록인구,한국인,28584,28985,29134,29613,30944,32162,34051,35451,36233,36913
"제주시","애월읍",등록인구,외국인,477,463,512,540,616,735,953,1099,1112,985
"제주시","구좌읍",등록인구,한국인,14570,14424,14275,14600,14746,15065,15504,15670,15589,15546
"제주시","구좌읍",등록인구,외국인,240,264,294,384,429,468,541,613,643,583
"제주시","조천읍",등록인구,한국인,20752,20528,20352,20446,21065,21991,23299,24106,24670,25339
"제주시","조천읍",등록인구,외국인,258,235,266,336,398,453,513,612,643,566
"제주시","한경면",등록인구,한국인,8089,8105,8194,8331,8516,8745,8930,9089,9037,9029
"제주시","한경면",등록인구,외국인,131,142,171,212,229,255,309,358,368,393
"제주시","추자면",등록인구,한국인,2401,2303,2207,2063,2022,1906,1862,1804,1733,1677
"제주시","추자면",등록인구,외국인,361,371,389,408,410,402,353,345,324,286
"제주시","우도면",등록인구,한국인,1556,1601,1622,1646,1710,1788,1871,1852,1862,1740
"제주시","우도면",등록인구,외국인,16,16,17,21,20,25,32,40,30,26
"제주시","일도1동",등록인구,한국인,3798,3829,3655,3527,3417,3281,3100,2884,2724,2584
"제주시","일도1동",등록인구,외국인,31,38,43,49,58,65,91,109,85,80
"제주시","일도2동",등록인구,한국인,37531,37440,36687,36391,36481,35776,35242,34388,33683,33062
"제주시","일도2동",등록인구,외국인,160,178,197,192,203,237,274,296,315,291
"제주시","이도1동",등록인구,한국인,7730,7819,7769,7890,7987,7917,7929,7851,7649,7683
"제주시","이도1동",등록인구,외국인,69,80,85,109,105,107,124,138,147,125
"제주시","이도2동",등록인구,한국인,45315,48420,49630,50758,51565,51173,50467,49456,49964,49834
"제주시","이도2동",등록인구,외국인,195,241,300,409,436,494,570,681,691,589
"제주시","삼도1동",등록인구,한국인,14153,14462,14616,14756,14684,14830,14519,14190,13854,13586
"제주시","삼도1동",등록인구,외국인,49,68,71,100,113,126,138,155,151,133
"제주시","삼도2동",등록인구,한국인,9714,9543,9280,9095,9123,8943,8717,8397,8174,8005
"제주시","삼도2동",등록인구,외국인,97,98,135,155,159,193,220,265,259,270
"제주시","용담1동",등록인구,한국인,8755,8531,8487,8368,8363,8003,7843,7527,7225,7050
"제주시","용담1동",등록인구,외국인,37,47,38,40,48,63,84,83,90,90
"제주시","용담2동",등록인구,한국인,17093,17153,16916,16810,16594,16209,15821,15426,15074,14798
"제주시","용담2동",등록인구,외국인,83,90,116,144,179,244,206,247,254,216
"제주시","건입동",등록인구,한국인,10802,10759,10435,10257,10112,9995,9867,9610,9311,9091
"제주시","건입동",등록인구,외국인,102,128,138,179,198,214,218,247,260,234
"제주시","화북동",등록인구,한국인,23097,23170,23802,25540,26050,25710,25448,24985,24855,24456
"제주시","화북동",등록인구,외국인,127,129,171,192,268,318,359,406,416,363
"제주시","삼양동",등록인구,한국인,11008,11146,12244,14934,17235,21606,22740,24897,25702,25837
"제주시","삼양동",등록인구,외국인,69,66,91,133,134,189,241,256,263,242
"제주시","봉개동",등록인구,한국인,3034,3046,3051,3042,3160,3484,3885,4842,5270,5285
