,행정구역,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율
3826,제주특별자치도  (5000000000),"677,493","311,360",2.18,"339,325","338,168",1.0
3827,제주특별자치도 제주시 (5011000000),"492,817","222,600",2.21,"246,309","246,508",1.0
3828,제주특별자치도 제주시 한림읍(5011025000),"20,934","10,658",1.96,"10,797","10,137",1.07
3829,제주특별자치도 제주시 애월읍(5011025300),"37,588","17,483",2.15,"19,272","18,316",1.05
3830,제주특별자치도 제주시 구좌읍(5011025600),"15,306","7,989",1.92,"7,798","7,508",1.04
3831,제주특별자치도 제주시 조천읍(5011025900),"25,707","11,852",2.17,"13,171","12,536",1.05
3832,제주특별자치도 제주시 한경면(5011031000),"9,504","5,105",1.86,"4,755","4,749",1.0
3833,제주특별자치도 제주시 추자면(5011032000),"1,570",937,1.68,855,715,1.2
3834,제주특별자치도 제주시 우도면(5011033000),"1,654",901,1.84,877,777,1.13
3835,제주특별자치도 제주시 일도1동(5011051000),"2,286","1,363",1.68,"1,208","1,078",1.12
3836,제주특별자치도 제주시 일도2동(5011052000),"31,897","13,365",2.39,"15,680","16,217",0.97
3837,제주특별자치도 제주시 이도1동(5011053000),"7,679","3,928",1.95,"3,781","3,898",0.97
3838,제주특별자치도 제주시 이도2동(5011054000),"49,247","21,401",2.3,"24,034","25,213",0.95
3839,제주특별자치도 제주시 삼도1동(5011055000),"13,197","6,050",2.18,"6,466","6,731",0.96
3840,제주특별자치도 제주시 삼도2동(5011056000),"7,826","4,064",1.93,"4,056","3,770",1.08
3841,제주특별자치도 제주시 용담1동(5011057000),"6,807","3,446",1.98,"3,526","3,281",1.07
3842,제주특별자치도 제주시 용담2동(5011058000),"14,077","6,388",2.2,"7,147","6,930",1.03
3843,제주특별자치도 제주시 건입동(5011059000),"8,861","4,156",2.13,"4,502","4,359",1.03
3844,제주특별자치도 제주시 화북동(5011060000),"23,726","9,669",2.45,"11,813","11,913",0.99
3845,제주특별자치도 제주시 삼양동(5011061000),"26,302","10,107",2.6,"13,185","13,117",1.01
3846,제주특별자치도 제주시 봉개동(5011062000),"5,251","2,415",2.17,"2,736","2,515",1.09
3847,제주특별자치도 제주시 아라동(5011063000),"39,157","16,624",2.36,"19,264","19,893",0.97
3848,제주특별자치도 제주시 오라동(5011064000),"15,947","6,312",2.53,"8,058","7,889",1.02
3849,제주특별자치도 제주시 연동(5011065000),"42,329","22,049",1.92,"20,738","21,591",0.96
3850,제주특별자치도 제주시 노형동(5011066000),"55,756","23,911",2.33,"27,294","28,462",0.96
3851,제주특별자치도 제주시 외도동(5011067000),"22,513","8,927",2.52,"11,265","11,248",1.0
3852,제주특별자치도 제주시 이호동(5011068000),"4,412","1,940",2.27,"2,313","2,099",1.1
3853,제주특별자치도 제주시 도두동(5011069000),"3,284","1,560",2.11,"1,718","1,566",1.1
3854,제주특별자치도 서귀포시 (5013000000),"184,676","88,760",2.08,"93,016","91,660",1.01
3855,제주특별자치도 서귀포시 대정읍(5013025000),"22,225","10,895",2.04,"10,721","11,504",0.93
3856,제주특별자치도 서귀포시 남원읍(5013025300),"18,473","8,824",2.09,"9,567","8,906",1.07
3857,제주특별자치도 서귀포시 성산읍(5013025900),"15,394","8,224",1.87,"8,098","7,296",1.11
3858,제주특별자치도 서귀포시 안덕면(5013031000),"12,449","6,476",1.92,"6,476","5,973",1.08
3859,제주특별자치도 서귀포시 표선면(5013032000),"12,552","6,285",2.0,"6,405","6,147",1.04
3860,제주특별자치도 서귀포시 송산동(5013051000),"3,900","1,910",2.04,"2,033","1,867",1.09
3861,제주특별자치도 서귀포시 정방동(5013052000),"2,142","1,327",1.61,"1,060","1,082",0.98
3862,제주특별자치도 서귀포시 중앙동(5013053000),"3,203","1,857",1.72,"1,532","1,671",0.92
3863,제주특별자치도 서귀포시 천지동(5013054000),"3,462","2,009",1.72,"1,731","1,731",1.0
3864,제주특별자치도 서귀포시 효돈동(5013055000),"5,325","2,389",2.23,"2,668","2,657",1.0
3865,제주특별자치도 서귀포시 영천동(5013056000),"5,299","2,555",2.07,"2,683","2,616",1.03
3866,제주특별자치도 서귀포시 동홍동(5013057000),"23,492","9,928",2.37,"11,442","12,050",0.95
3867,제주특별자치도 서귀포시 서홍동(5013058000),"11,213","4,605",2.43,"5,539","5,674",0.98
3868,제주특별자치도 서귀포시 대륜동(5013059000),"15,604","7,004",2.23,"7,863","7,741",1.02
3869,제주특별자치도 서귀포시 대천동(5013060000),"13,748","6,471",2.12,"6,969","6,779",1.03
3870,제주특별자치도 서귀포시 중문동(5013061000),"12,308","5,971",2.06,"6,242","6,066",1.03
3871,제주특별자치도 서귀포시 예래동(5013062000),"3,887","2,030",1.91,"1,987","1,900",1.05
