읍면동명,국적,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,권역
한림읍,외국인,618,1065,1962,2807,3145,3390,3522,3694,3715,3360,제주시 서부권역
애월읍,외국인,477,463,512,540,616,735,953,1099,1112,985,제주시 서부권역
구좌읍,외국인,240,264,294,384,429,468,541,613,643,583,제주시 동부권역
조천읍,외국인,258,235,266,336,398,453,513,612,643,566,제주시 동부권역
한경면,외국인,131,142,171,212,229,255,309,358,368,393,제주시 서부권역
추자면,외국인,361,371,389,408,410,402,353,345,324,286,제주시 서부권역
우도면,외국인,16,16,17,21,20,25,32,40,30,26,제주시 동부권역
일도일동,외국인,31,38,43,49,58,65,91,109,85,80,제주시 동권역
일도이동,외국인,160,178,197,192,203,237,274,296,315,291,제주시 동권역
이도일동,외국인,69,80,85,109,105,107,124,138,147,125,제주시 동권역
이도이동,외국인,195,241,300,409,436,494,570,681,691,589,제주시 동권역
삼도일동,외국인,49,68,71,100,113,126,138,155,151,133,제주시 동권역
삼도이동,외국인,97,98,135,155,159,193,220,265,259,270,제주시 동권역
용담일동,외국인,37,47,38,40,48,63,84,83,90,90,제주시 동권역
용담이동,외국인,83,90,116,144,179,244,206,247,254,216,제주시 동권역
건입동,외국인,102,128,138,179,198,214,218,247,260,234,제주시 동권역
화북동,외국인,127,129,171,192,268,318,359,406,416,363,제주시 동권역
삼양동,외국인,69,66,91,133,134,189,241,256,263,242,제주시 동권역
봉개동,외국인,31,39,39,50,56,53,79,94,93,87,제주시 동권역
아라동,외국인,566,646,599,633,745,832,961,1222,1218,1067,제주시 동권역
오라동,외국인,27,24,42,56,95,165,201,233,254,220,제주시 동권역
연동,외국인,471,571,717,1086,1301,1670,1618,1820,2195,2006,제주시 동권역
노형동,외국인,482,614,727,1006,1224,1515,1588,2221,2389,2103,제주시 동권역
외도동,외국인,59,74,86,114,160,194,267,296,307,298,제주시 동권역
이호동,외국인,37,47,63,86,117,149,140,159,195,174,제주시 동권역
도두동,외국인,10,23,23,50,56,104,99,156,128,105,제주시 동권역
대정읍,외국인,411,624,780,910,1068,1250,1519,1730,1771,1690,서귀포시 서부권역
남원읍,외국인,203,235,276,310,445,529,631,740,802,703,서귀포시 동부권역
성산읍,외국인,482,536,629,770,1322,1482,1577,1730,1781,1660,서귀포시 동부권역
안덕면,외국인,157,365,340,200,264,349,491,670,688,541,서귀포시 서부권역
표선면,외국인,184,200,231,294,332,394,430,450,438,366,서귀포시 동부권역
송산동,외국인,195,204,302,317,385,387,527,610,607,487,서귀포시 동권역
정방동,외국인,37,29,52,62,61,69,95,111,123,119,서귀포시 동권역
중앙동,외국인,35,52,52,52,55,72,110,105,93,73,서귀포시 동권역
천지동,외국인,32,33,46,60,74,77,98,118,112,112,서귀포시 동권역
효돈동,외국인,26,32,38,51,59,72,81,87,75,71,서귀포시 동권역
영천동,외국인,34,36,50,66,95,137,172,186,196,172,서귀포시 동권역
동홍동,외국인,149,160,208,1051,1225,1300,1274,1278,1271,989,서귀포시 동권역
서홍동,외국인,63,79,72,80,114,136,136,127,126,128,서귀포시 동권역
대륜동,외국인,64,64,93,124,124,151,179,198,214,198,서귀포시 동권역
대천동,외국인,29,137,151,93,124,144,242,255,225,189,서귀포시 동권역
중문동,외국인,165,127,171,182,211,240,280,323,328,291,서귀포시 동권역
예래동,외국인,59,66,81,91,100,144,146,278,273,262,서귀포시 동권역
