읍면동명,국적,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,권역
한림읍,한국인,19376,19444,19579,19643,19827,20461,20867,21309,21365,21249,제주시 서부권역
애월읍,한국인,28584,28985,29134,29613,30944,32162,34051,35451,36233,36913,제주시 서부권역
구좌읍,한국인,14570,14424,14275,14600,14746,15065,15504,15670,15589,15546,제주시 동부권역
조천읍,한국인,20752,20528,20352,20446,21065,21991,23299,24106,24670,25339,제주시 동부권역
한경면,한국인,8089,8105,8194,8331,8516,8745,8930,9089,9037,9029,제주시 서부권역
추자면,한국인,2401,2303,2207,2063,2022,1906,1862,1804,1733,1677,제주시 서부권역
우도면,한국인,1556,1601,1622,1646,1710,1788,1871,1852,1862,1740,제주시 동부권역
일도일동,한국인,3798,3829,3655,3527,3417,3281,3100,2884,2724,2584,제주시 동권역
일도이동,한국인,37531,37440,36687,36391,36481,35776,35242,34388,33683,33062,제주시 동권역
이도일동,한국인,7730,7819,7769,7890,7987,7917,7929,7851,7649,7683,제주시 동권역
이도이동,한국인,45315,48420,49630,50758,51565,51173,50467,49456,49964,49834,제주시 동권역
삼도일동,한국인,14153,14462,14616,14756,14684,14830,14519,14190,13854,13586,제주시 동권역
삼도이동,한국인,9714,9543,9280,9095,9123,8943,8717,8397,8174,8005,제주시 동권역
용담일동,한국인,8755,8531,8487,8368,8363,8003,7843,7527,7225,7050,제주시 동권역
용담이동,한국인,17093,17153,16916,16810,16594,16209,15821,15426,15074,14798,제주시 동권역
건입동,한국인,10802,10759,10435,10257,10112,9995,9867,9610,9311,9091,제주시 동권역
화북동,한국인,23097,23170,23802,25540,26050,25710,25448,24985,24855,24456,제주시 동권역
삼양동,한국인,11008,11146,12244,14934,17235,21606,22740,24897,25702,25837,제주시 동권역
봉개동,한국인,3034,3046,3051,3042,3160,3484,3885,4842,5270,5285,제주시 동권역
아라동,한국인,14048,15206,20248,22009,24123,27295,30128,33099,34806,37070,제주시 동권역
오라동,한국인,6530,6948,7887,8854,10003,11822,13514,14673,15334,15746,제주시 동권역
연동,한국인,41653,42705,42882,42922,43148,42419,41810,41397,41513,41910,제주시 동권역
노형동,한국인,50702,51124,51406,52861,53491,53524,53433,54002,54222,55087,제주시 동권역
외도동,한국인,15665,16165,16961,17677,18699,19675,20697,21445,21801,22055,제주시 동권역
이호동,한국인,4072,4021,4022,3969,3973,3967,4151,4495,4569,4572,제주시 동권역
도두동,한국인,2762,2779,2824,2832,2838,2918,3005,3101,3186,3262,제주시 동권역
대정읍,한국인,16552,16574,16610,17118,18492,19685,21045,21364,21334,21761,서귀포시 서부권역
남원읍,한국인,18101,18050,18047,18219,18650,19151,19160,19038,18905,18766,서귀포시 동부권역
성산읍,한국인,13945,13828,13853,13879,14388,14857,15287,15450,15557,15412,서귀포시 동부권역
안덕면,한국인,9615,9642,9716,9770,10118,10416,11367,11867,12023,11982,서귀포시 서부권역
표선면,한국인,10748,10783,10890,11148,11433,11689,12220,12374,12284,12325,서귀포시 동부권역
송산동,한국인,4979,4956,4908,4813,4831,4645,4474,4417,4286,4171,서귀포시 동권역
정방동,한국인,2910,2871,2804,2717,2745,2641,2456,2333,2276,2196,서귀포시 동권역
중앙동,한국인,4478,4408,4463,4539,4383,4243,4003,3879,3705,3519,서귀포시 동권역
천지동,한국인,3864,3940,3994,3977,3900,3798,3571,3570,3544,3524,서귀포시 동권역
효돈동,한국인,5070,5005,4981,4936,5108,5193,5320,5278,5291,5253,서귀포시 동권역
영천동,한국인,4978,4980,4996,4977,5029,4997,5178,5292,5289,5199,서귀포시 동권역
동홍동,한국인,21042,21379,21874,22225,22625,22806,22680,22885,23118,23233,서귀포시 동권역
서홍동,한국인,8499,8817,9352,9547,10034,10530,10629,10570,10433,10618,서귀포시 동권역
대륜동,한국인,9246,9280,9212,10325,11192,13271,13389,13958,14443,14765,서귀포시 동권역
대천동,한국인,6920,7042,7265,7396,8103,8980,12993,13675,13785,13921,서귀포시 동권역
중문동,한국인,8899,8967,9087,9258,9738,10217,10684,11159,11337,11586,서귀포시 동권역
예래동,한국인,3520,3535,3589,3668,3750,3813,3927,4136,3974,3938,서귀포시 동권역
