년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,연도,월,권역,분기
2018-01,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,147,5320500,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,기타 외국식 음식점업,173,4998000,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,비알콜 음료점업,432,5110800,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,빵 및 과자류 소매업,1003,13434780,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,서양식 음식점업,2660,48084140,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,219,7098300,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,일식 음식점업,645,64090500,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,중식 음식점업,547,16013500,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,남원읍,한식 음식점업,9949,467551076,15559582.61,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,대륜동,관광 민예품 및 선물용품 소매업,27,486800,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대륜동,기타 외국식 음식점업,1200,58721500,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대륜동,비알콜 음료점업,1850,16939897,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대륜동,빵 및 과자류 소매업,2050,35032540,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대륜동,서양식 음식점업,2510,62150250,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대륜동,일식 음식점업,827,37512000,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대륜동,중식 음식점업,1446,41868650,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대륜동,한식 음식점업,13823,606206727,15981159.24,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대정읍,관광 민예품 및 선물용품 소매업,4,1570000,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,기타 외국식 음식점업,181,3454100,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,비알콜 음료점업,1385,25147190,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,빵 및 과자류 소매업,4548,58289760,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,서양식 음식점업,2696,76166160,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,스포츠 및 레크레이션 용품 임대업,442,34155800,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,일식 음식점업,942,83462108,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,중식 음식점업,2163,68216423,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대정읍,한식 음식점업,18471,987337340,17485798.33,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,대천동,관광 민예품 및 선물용품 소매업,12,616500,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,기타 외국식 음식점업,1084,32066400,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,비알콜 음료점업,1022,7757280,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,빵 및 과자류 소매업,3650,53851897,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,서양식 음식점업,1809,56211670,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,스포츠 및 레크레이션 용품 임대업,36,11914900,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,일식 음식점업,864,55337000,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,중식 음식점업,308,12370000,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,대천동,한식 음식점업,13132,478965436,9229592.656,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,관광 민예품 및 선물용품 소매업,130,7995470,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,기타 외국식 음식점업,782,30625000,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,비알콜 음료점업,1814,20509190,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,빵 및 과자류 소매업,2735,34400900,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,서양식 음식점업,1662,36321160,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,스포츠 및 레크레이션 용품 임대업,974,60760500,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,일식 음식점업,1062,101977500,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,중식 음식점업,618,19976200,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,동홍동,한식 음식점업,14113,741625558,18264222.17,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,관광 민예품 및 선물용품 소매업,43,1983700,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,기타 외국식 음식점업,998,20431100,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,비알콜 음료점업,1234,11734850,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,빵 및 과자류 소매업,340,4452300,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,서양식 음식점업,1369,23887750,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,스포츠 및 레크레이션 용품 임대업,2,62000,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,일식 음식점업,41,2465800,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,중식 음식점업,701,18057000,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,서홍동,한식 음식점업,6733,258137400,6487279.695,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,성산읍,관광 민예품 및 선물용품 소매업,2076,45536650,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,기타 외국식 음식점업,368,29230200,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,비알콜 음료점업,3193,44778313,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,빵 및 과자류 소매업,4164,56971720,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,서양식 음식점업,3459,88489770,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,스포츠 및 레크레이션 용품 임대업,64,2776000,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,일식 음식점업,815,66291416,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,중식 음식점업,949,30200200,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,성산읍,한식 음식점업,26318,1281939398,15980584.65,2018,1,서귀포시 동부권역,1/4분기
2018-01,서귀포시,송산동,관광 민예품 및 선물용품 소매업,1688,50717330,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,기타 외국식 음식점업,1610,80440000,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,비알콜 음료점업,5458,66226310,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,빵 및 과자류 소매업,10540,165537900,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,서양식 음식점업,6745,166496350,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,스포츠 및 레크레이션 용품 임대업,3895,582107350,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,일식 음식점업,6383,612314310,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,중식 음식점업,3872,127678000,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,송산동,한식 음식점업,52884,2775416580,21188818.56,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,안덕면,관광 민예품 및 선물용품 소매업,597,19526300,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,기타 외국식 음식점업,322,19948500,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,비알콜 음료점업,1432,23480860,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,빵 및 과자류 소매업,985,18583000,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,서양식 음식점업,12848,366320225,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,스포츠 및 레크레이션 용품 임대업,416,21969700,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,일식 음식점업,210,15541000,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,중식 음식점업,782,22124810,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,안덕면,한식 음식점업,15769,938410355,18587691.57,2018,1,서귀포시 서부권역,1/4분기
2018-01,서귀포시,영천동,서양식 음식점업,270,6404400,6073651.207,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,영천동,스포츠 및 레크레이션 용품 임대업,24,4318500,6073651.207,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,영천동,중식 음식점업,633,21810000,6073651.207,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,영천동,한식 음식점업,4572,305742000,6073651.207,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,관광 민예품 및 선물용품 소매업,225,7717100,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,비알콜 음료점업,2415,35564300,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,빵 및 과자류 소매업,385,5941290,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,서양식 음식점업,3618,116257540,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,스포츠 및 레크레이션 용품 임대업,316,33318400,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,일식 음식점업,125,15881000,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,중식 음식점업,410,12577000,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,예래동,한식 음식점업,11652,885521110,8508221.576,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,정방동,관광 민예품 및 선물용품 소매업,1558,42721860,5340965.659,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,정방동,기타 외국식 음식점업,828,49815000,5340965.659,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,정방동,비알콜 음료점업,3644,45717120,5340965.659,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,정방동,빵 및 과자류 소매업,7805,131137000,5340965.659,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,정방동,서양식 음식점업,4822,124076790,5340965.659,2018,1,서귀포시 동권역,1/4분기
2018-01,서귀포시,정방동,스포츠 및 레크레이션 용품 임대업,2899,520808350,5340965.659,2018,1,서귀포시 동권역,1/4분기
