행정동명,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월
,인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명),인구(명)
건입동,"128,123","115,266","132,868","141,119","145,939","144,096","149,359","209,153","124,450","132,316","114,386","114,337","140,314",632,"64,443","72,460","116,661","111,168","132,013","199,342","104,356","152,686","162,074","95,182","84,945","104,478","128,804","166,337","168,974","161,256","227,301","254,691","150,754","278,589","240,682","95,182","235,677","198,827","170,960","199,557","235,279","260,371","276,339","371,223","199,826","252,456","210,427"
구좌읍,"399,817","373,998","439,812","491,809","551,273","525,421","554,090","701,516","455,626","568,138","466,963","436,432","438,797",744,"239,142","240,533","412,000","426,222","513,797","701,503","398,363","547,203","524,097","276,462","245,380","410,216","471,071","623,517","669,436","649,742","701,016","695,119","524,860","732,166","671,384","276,462","718,342","681,527","489,699","651,955","760,707","753,243","768,295","948,157","584,078","803,012","556,341"
남원읍,"345,305","260,709","210,166","246,931","280,713","268,745","251,710","290,251","229,835","325,406","287,494","387,527","395,285",916,"117,793","124,529","202,431","196,191","242,148","308,388","182,093","314,590","347,853","228,985","181,037","215,401","223,143","321,263","381,997","335,132","324,403","297,039","257,358","421,483","428,760","228,985","600,645","424,168","290,438","393,951","464,641","402,822","358,550","415,597","285,814","417,085","321,934"
노형동,"358,757","330,379","289,173","302,198","301,443","302,440","393,987","480,760","364,099","417,402","400,941","399,875","570,599","3,819","232,883","212,226","298,278","320,485","373,109","476,186","284,235","401,631","447,483","273,137","263,575","345,141","367,865","445,046","478,388","435,819","570,059","568,739","429,182","605,478","636,034","273,137","773,918","670,280","482,410","593,745","671,831","692,542","727,364","812,330","576,860","449,221","399,996"
대륜동,"227,123","203,367","225,811","245,878","286,992","241,713","239,081","319,087","220,527","293,807","241,179","241,247","296,702",776,"126,565","107,651","182,506","181,110","221,745","312,822","162,334","233,040","288,816","183,676","177,654","241,467","273,342","365,549","404,238","393,780","386,725","358,201","256,014","372,885","354,432","183,676","423,475","345,750","250,420","325,039","371,322","372,536","387,785","429,546","316,691","425,120","351,179"
대정읍,"293,430","273,360","310,605","357,260","358,406","302,983","268,542","339,744","214,734","271,429","264,048","239,003","264,636","2,168","131,694","136,569","206,885","189,921","219,364","294,877","186,146","290,768","315,970","179,375","155,325","214,867","265,800","366,969","381,155","346,195","390,173","463,016","331,615","466,940","433,081","179,375","466,230","401,014","310,489","441,134","485,598","421,693","387,635","536,579","354,475","461,054","371,965"
대천동,"175,876","159,869","157,244","177,361","202,580","180,975","200,573","222,712","152,279","181,952","152,234","157,544","225,821",678,"97,060","84,283","127,935","145,291","184,424","225,528","123,634","166,376","181,648","110,012","121,636","144,851","139,922","180,818","208,459","205,489","232,508","228,457","156,638","223,704","215,474","110,012","284,538","229,483","150,093","204,455","230,308","245,518","266,284","301,393","186,549","151,124","118,237"
도두동,"165,380","144,563","175,872","194,096","167,472","146,266","141,172","166,340","130,517","153,863","146,546","127,646","141,785","1,004","53,312","53,140","87,780","98,395","120,156","173,385","83,698","129,287","156,818","73,445","58,262","89,913","97,531","120,042","144,763","156,280","170,513","151,130","109,920","177,175","180,490","73,445","184,124","164,070","126,659","172,485","169,648","193,099","181,154","230,988","166,226","253,525","208,031"
동홍동,"84,315","82,988","68,939","70,881","85,807","69,450","62,334","72,746","54,343","56,509","47,537","55,947","99,709","1,317","43,713","39,381","49,594","47,290","62,530","75,974","46,915","62,620","60,042","45,098","45,811","54,563","52,911","65,786","69,338","65,566","86,932","79,016","61,217","74,980","70,578","45,098","111,927","83,612","61,823","69,541","79,610","77,567","89,305","99,014","66,389","52,605","41,296"
봉개동,"100,131","89,861","110,640","160,224","193,550","165,478","144,274","166,217","118,861","196,680","145,370","113,430","111,607",188,"40,375","45,130","84,755","84,970","107,634","157,000","67,932","130,755","149,224","54,374","43,913","70,211","83,383","137,822","151,996","139,660","137,523","108,939","81,606","143,576","155,115","54,374","136,022","130,549","87,896","149,457","181,179","177,153","159,621","167,279","132,136","202,790","164,661"
삼도1동,"36,900","43,802","43,585","31,409","30,327","34,691","31,623","34,379","27,408","27,501","26,151","28,904","44,770","1,292","16,114","12,593","17,152","15,916","20,512","26,428","16,234","19,332","20,649","16,052","18,701","19,136","21,211","26,925","31,973","36,399","53,473","47,936","40,771","51,014","54,872","16,052","64,076","54,627","36,015","56,111","51,488","54,593","52,495","57,095","44,122","35,066","30,520"
삼도2동,"217,812","213,333","201,806","164,639","190,268","182,181","206,670","261,184","187,693","203,752","179,643","192,636","201,666",675,"71,296","68,578","118,228","136,054","169,971","242,220","126,922","182,053","217,480","111,662","91,000","147,676","174,949","226,913","239,251","238,914","205,092","171,578","125,970","179,472","189,185","111,662","214,682","194,542","143,906","183,947","215,759","209,512","234,095","272,770","180,646","204,168","176,082"
삼양동,"38,148","45,212","34,597","34,556","37,888","42,217","54,008","69,942","43,294","35,908","32,490","33,936","65,378",227,"37,821","30,646","43,277","45,145","57,229","75,882","44,358","56,700","52,887","43,273","41,258","48,982","49,738","58,352","66,692","68,685","89,686","88,930","67,024","73,509","68,117","43,273","87,564","73,030","58,525","67,011","78,138","82,923","98,814","107,647","70,575","47,050","40,582"
서홍동,"31,537","39,480","27,347","22,622","28,475","29,301","35,844","45,919","28,969","29,004","25,902","33,551","63,396",356,"23,252","20,796","26,694","26,169","34,222","42,742","19,882","25,472","22,508","19,120","22,254","20,027","18,750","21,284","22,189","24,497","41,515","34,935","26,416","37,458","36,531","19,120","64,885","48,483","32,417","34,830","40,566","40,549","49,980","51,491","33,653","17,418","13,439"
성산읍,"620,603","601,440","639,409","684,951","719,917","662,421","672,836","883,671","608,409","766,874","615,811","615,921","622,768","1,311","287,661","267,615","459,914","463,903","579,996","786,469","436,322","624,294","654,986","328,063","279,039","466,698","517,843","676,745","743,481","714,731","749,372","736,631","558,076","808,681","766,234","328,063","850,012","799,319","561,329","745,033","840,217","838,230","789,052","956,287","631,269","864,232","635,523"
송산동,"251,234","237,725","235,055","191,054","236,044","240,876","274,895","352,410","235,374","307,709","283,976","287,996","294,114",698,"124,607","112,179","192,552","188,671","243,198","301,767","147,081","217,259","235,111","123,182","121,817","158,328","177,346","230,820","251,239","232,656","247,732","230,393","167,343","237,930","219,970","123,182","249,105","212,791","155,543","219,456","262,107","250,714","248,823","282,534","187,249","244,540","225,893"
아라동,"135,241","140,546","110,504","122,288","133,282","134,820","146,056","173,839","136,340","143,412","133,811","156,072","234,702",600,"128,590","92,197","114,044","111,275","135,140","161,874","124,618","154,509","165,845","109,514","103,738","135,305","208,600","151,274","157,742","151,758","180,485","171,368","176,424","197,507","190,673","109,514","217,440","183,239","219,740","180,039","194,456","192,988","207,143","221,119","208,326","218,902","204,621"
안덕면,"519,379","479,154","489,534","579,411","614,519","580,835","596,916","735,832","547,558","722,140","607,747","652,866","655,593","2,366","274,621","269,032","491,369","522,294","631,444","879,723","492,794","712,075","766,159","414,494","342,980","556,714","606,397","774,561","903,128","877,195","827,230","821,031","600,805","864,071","902,726","414,494","997,421","927,355","644,848","890,762","1,057,381","1,077,628","1,019,871","1,218,169","788,707","1,077,413","840,606"
애월읍,"641,891","585,535","613,804","667,780","726,243","728,333","779,095","989,712","665,992","820,861","716,429","680,098","734,535","2,315","395,818","388,348","614,501","640,002","773,342","1,074,121","615,340","921,737","968,085","510,178","442,606","717,615","790,263","994,139","1,108,393","1,064,405","1,165,811","1,126,850","828,307","1,200,541","1,132,001","510,178","1,259,799","1,152,157","824,484","1,036,688","1,187,209","1,197,641","1,245,814","1,447,518","919,061","1,025,675","922,973"
연동,"514,815","455,921","568,634","631,879","627,039","602,291","537,287","660,879","508,103","610,651","606,497","552,661","628,813","8,680","272,174","259,936","400,428","428,439","489,748","726,908","423,316","623,211","753,059","390,838","340,332","475,413","554,174","695,442","778,284","776,935","750,561","661,634","504,212","790,295","866,288","390,838","1,030,548","993,447","765,793","950,252","1,132,280","1,181,199","1,108,035","1,246,307","967,868","1,173,243","1,161,624"
영천동,"83,205","74,834","88,838","99,375","122,327","93,298","95,957","150,184","89,129","137,534","92,022","84,850","111,316",392,"49,338","46,787","81,405","75,900","96,815","163,337","87,116","138,302","131,437","70,237","62,426","100,304","102,784","138,066","160,369","158,932","170,245","161,255","113,470","166,919","149,504","70,237","177,208","150,306","107,283","154,328","177,732","167,003","155,000","186,333","129,605","179,129","123,297"
예래동,"489,278","448,430","432,073","487,409","542,285","487,921","512,433","649,002","434,731","500,978","483,696","544,013","552,870","2,344","221,211","220,860","376,073","394,419","489,949","662,455","340,846","496,544","520,092","290,657","237,819","384,584","441,274","554,380","615,359","603,379","646,309","606,058","434,201","618,193","605,812","290,657","675,246","595,170","447,918","602,983","677,630","686,176","730,362","836,195","542,290","732,025","558,134"
오라동,"60,443","67,221","76,031","81,471","78,886","79,855","83,762","107,919","76,719","93,094","91,026","95,199","117,695",819,"47,918","47,017","68,650","71,632","77,354","94,454","59,293","86,106","96,316","54,797","48,010","61,779","73,504","96,450","110,533","100,768","111,256","102,741","85,591","122,088","141,790","54,797","146,880","128,298","93,520","137,561","134,867","138,735","126,184","135,202","107,507","88,136","83,374"
외도동,"51,764","54,537","49,459","64,226","59,210","60,847","92,605","118,675","76,803","90,975","74,796","81,005","112,127",293,"59,487","54,540","84,434","85,868","110,210","139,626","83,467","108,933","109,492","69,261","65,343","88,360","97,072","119,194","127,029","126,363","154,423","133,571","93,408","124,951","119,606","69,261","142,162","124,065","97,620","117,865","132,644","132,119","138,428","145,625","108,359","78,576","68,725"
용담1동,"24,362","25,470","22,299","25,031","25,282","22,650","24,907","30,131","20,596","25,350","12,782","14,503","27,561",415,"11,484","10,376","13,599","13,160","19,096","23,938","13,261","20,242","23,148","12,016","10,661","15,664","19,136","26,558","28,155","27,711","31,123","30,204","32,969","34,140","40,166","12,016","44,281","41,382","32,612","45,829","44,528","46,506","44,586","47,223","34,703","31,322","25,426"
용담2동,"1,253,743","1,097,081","1,163,483","1,207,678","1,328,202","1,250,364","1,250,537","1,520,737","1,162,742","1,342,792","1,202,425","1,196,122","1,135,766","1,437","503,832","527,024","902,404","1,022,965","1,176,673","1,360,375","735,780","1,188,027","1,369,662","661,801","525,786","943,920","1,141,569","1,436,368","1,432,628","1,370,051","1,370,625","1,340,751","1,084,456","1,615,208","1,719,507","661,801","1,363,875","1,152,645","868,723","1,224,589","1,286,134","1,267,700","1,099,241","1,229,176","822,926","469,003","419,203"
우도면,"102,036","103,350","129,127","132,367","134,544","131,858","135,476","189,393","98,988","153,436","109,615","86,834","78,878",125,"50,573","50,911","91,660","90,283","114,745","164,328","97,847","142,183","136,234","56,919","39,058","68,722","98,942","131,015","149,664","155,471","145,512","148,306","120,729","178,260","154,598","56,919","121,788","125,515","98,677","157,142","190,446","165,786","150,633","198,230","115,399","185,981","124,404"
이도1동,"107,700","89,879","103,283","132,003","111,860","109,088","113,600","136,751","94,456","125,573","109,322","125,454","130,245",445,"34,051","27,984","43,778","44,809","58,517","79,537","38,765","58,811","70,833","33,371","30,492","44,433","60,906","65,881","68,837","66,027","81,533","81,573","60,502","86,609","87,211","33,371","116,255","100,238","71,958","81,394","73,560","78,799","84,324","99,983","74,486","58,334","49,068"
이도2동,"170,405","193,088","146,806","150,480","153,488","152,044","177,751","210,005","164,623","153,968","135,211","154,413","260,388","1,579","129,018","110,059","144,412","150,832","195,392","217,997","135,851","165,877","173,793","121,324","122,589","157,593","166,456","174,003","183,599","172,511","216,013","185,983","160,818","185,670","196,839","121,324","248,529","209,314","173,684","184,418","200,150","209,089","244,081","246,377","187,881","144,710","130,785"
이호동,"88,928","88,252","109,934","101,441","119,179","115,306","112,303","135,905","87,728","112,826","98,200","92,957","96,009",358,"39,768","40,215","68,721","78,430","105,850","142,747","80,890","109,969","119,253","57,855","51,420","77,512","94,276","122,051","129,215","127,305","118,517","108,843","109,257","162,217","159,452","57,855","166,606","146,145","119,766","169,400","199,586","213,356","210,252","225,031","146,770","130,994","108,910"
일도1동,"40,247","43,875","41,885","54,788","46,240","43,467","34,162","39,232","24,299","29,131","17,712","19,505","36,101",254,"33,953","35,617","59,180","59,308","77,635","76,993","41,336","60,195","71,795","37,576","32,711","55,532","63,589","79,821","78,694","81,139","66,088","50,793","54,831","53,525","70,699","37,576","103,109","103,827","72,312","103,216","95,602","74,773","68,943","77,510","54,752","55,101","40,971"
