연도,월,권역,읍면동,관광지 수,면적,방문자수
2019,1,제주시 동권역,건입동,8.0,2825867.0,128123
2019,2,제주시 동권역,건입동,8.0,2825867.0,115266
2019,3,제주시 동권역,건입동,8.0,2825867.0,132868
2019,4,제주시 동권역,건입동,8.0,2825867.0,141119
2019,5,제주시 동권역,건입동,8.0,2825867.0,145939
2019,6,제주시 동권역,건입동,8.0,2825867.0,144096
2019,7,제주시 동권역,건입동,8.0,2825867.0,149359
2019,8,제주시 동권역,건입동,8.0,2825867.0,209153
2019,9,제주시 동권역,건입동,8.0,2825867.0,124450
2019,10,제주시 동권역,건입동,8.0,2825867.0,132316
2019,11,제주시 동권역,건입동,8.0,2825867.0,114386
2019,12,제주시 동권역,건입동,8.0,2825867.0,114337
2020,1,제주시 동권역,건입동,8.0,2825867.0,140314
2020,2,제주시 동권역,건입동,8.0,2825867.0,632
2020,3,제주시 동권역,건입동,8.0,2825867.0,64443
2020,4,제주시 동권역,건입동,8.0,2825867.0,72460
2020,5,제주시 동권역,건입동,8.0,2825867.0,116661
2020,6,제주시 동권역,건입동,8.0,2825867.0,111168
2020,7,제주시 동권역,건입동,8.0,2825867.0,132013
2020,8,제주시 동권역,건입동,8.0,2825867.0,199342
2020,9,제주시 동권역,건입동,8.0,2825867.0,104356
2020,10,제주시 동권역,건입동,8.0,2825867.0,152686
2020,11,제주시 동권역,건입동,8.0,2825867.0,162074
2020,12,제주시 동권역,건입동,8.0,2825867.0,95182
2021,1,제주시 동권역,건입동,8.0,2825867.0,84945
2021,2,제주시 동권역,건입동,8.0,2825867.0,104478
2021,3,제주시 동권역,건입동,8.0,2825867.0,128804
2021,4,제주시 동권역,건입동,8.0,2825867.0,166337
2021,5,제주시 동권역,건입동,8.0,2825867.0,168974
2021,6,제주시 동권역,건입동,8.0,2825867.0,161256
2021,7,제주시 동권역,건입동,8.0,2825867.0,227301
2021,8,제주시 동권역,건입동,8.0,2825867.0,254691
2021,9,제주시 동권역,건입동,8.0,2825867.0,150754
2021,10,제주시 동권역,건입동,8.0,2825867.0,278589
2021,11,제주시 동권역,건입동,8.0,2825867.0,240682
2021,12,제주시 동권역,건입동,8.0,2825867.0,95182
2022,1,제주시 동권역,건입동,8.0,2825867.0,235677
2022,2,제주시 동권역,건입동,8.0,2825867.0,198827
2022,3,제주시 동권역,건입동,8.0,2825867.0,170960
2022,4,제주시 동권역,건입동,8.0,2825867.0,199557
2022,5,제주시 동권역,건입동,8.0,2825867.0,235279
2022,6,제주시 동권역,건입동,8.0,2825867.0,260371
2022,7,제주시 동권역,건입동,8.0,2825867.0,276339
2022,8,제주시 동권역,건입동,8.0,2825867.0,371223
2022,9,제주시 동권역,건입동,8.0,2825867.0,199826
2022,10,제주시 동권역,건입동,8.0,2825867.0,252456
2022,11,제주시 동권역,건입동,8.0,2825867.0,210427
2019,1,제주시 동부권역,구좌읍,93.0,185900000.0,399817
2019,2,제주시 동부권역,구좌읍,93.0,185900000.0,373998
2019,3,제주시 동부권역,구좌읍,93.0,185900000.0,439812
2019,4,제주시 동부권역,구좌읍,93.0,185900000.0,491809
2019,5,제주시 동부권역,구좌읍,93.0,185900000.0,551273
2019,6,제주시 동부권역,구좌읍,93.0,185900000.0,525421
