연도,월,관광지명,한국인,외국인
2009,01,(주)제주미니미니랜드,11484,234
2009,01,국립제주박물관,26913,513
2009,01,도립미술관,0,0
2009,01,만장굴관광지,32019,1648
2009,01,목석원,4169,2119
2009,01,민속자연사박물관,41525,5358
2009,01,비자림,3601,2
2009,01,산굼부리,19605,987
2009,01,삼성혈,5392,5117
2009,01,삼양선사유적지,1322,1
2009,01,생각하는 정원,10063,532
2009,01,절물자연휴양림,13858,28
2009,01,제주도립 김창열미술관,0,0
2009,01,제주돌문화공원,4233,107
2009,01,제주러브랜드,32081,5660
2009,01,제주목관아지,4743,185
2009,01,제주별빛누리공원,0,0
2009,01,제주항일기념관,2337,13
2009,01,한라산국립공원,67479,0
2009,01,한림공원,43936,1433
2009,01,항몽 유적지,4073,42
2009,01,해녀 박물관,12196,409
2009,01,감귤박물관,5614,13
2009,01,기당미술관,452,0
2009,01,마라해양도립공원,32436,0
2009,01,박물관은살아있다,0,0
2009,01,산방산,36949,2048
2009,01,서귀포도립해양공원,33812,0
2009,01,서귀포자연휴양림,2450,0
2009,01,서복전시관,2603,900
2009,01,성산일출봉,60563,18371
2009,01,소리섬박물관,0,0
2009,01,소인국테마파크,58447,0
2009,01,신영영화박물관,6647,0
2009,01,아프리카박물관,11046,0
2009,01,여미지식물원,62106,0
2009,01,이중섭미술관,6932,58
2009,01,익스트림 아일랜드,0,0
2009,01,일출랜드,29391,584
2009,01,정방폭포,20215,4921
2009,01,제주민속촌박물관,26436,3643
2009,01,제주조각공원,1891,6
2009,01,제주추사관,0,0
2009,01,중문주상절리대,57735,7256
2009,01,천제연폭포,26291,8217
2009,01,천지연폭포,62665,13806
2009,01,카멜리아힐,0,0
2009,01,테디베어뮤지엄,33974,8058
2009,01,퍼시픽랜드,27195,0
2009,01,아쿠아플라넷,0,0
2009,01,화락원,0,0
2009,02,(주)제주미니미니랜드,11682,222
2009,02,국립제주박물관,13181,155
2009,02,도립미술관,0,0
2009,02,만장굴관광지,28922,2301
2009,02,목석원,3553,1735
2009,02,민속자연사박물관,38311,4967
2009,02,비자림,4375,0
2009,02,산굼부리,17994,1312
2009,02,삼성혈,4321,6986
2009,02,삼양선사유적지,1029,0
2009,02,생각하는 정원,10234,273
2009,02,절물자연휴양림,20395,55
2009,02,제주도립 김창열미술관,0,0
2009,02,제주돌문화공원,4855,198
2009,02,제주러브랜드,37561,6114
2009,02,제주목관아지,12175,267
2009,02,제주별빛누리공원,0,0
2009,02,제주항일기념관,2920,14
2009,02,한라산국립공원,68470,0
2009,02,한림공원,44017,1511
2009,02,항몽 유적지,3423,22
2009,02,해녀 박물관,10911,467
2009,02,감귤박물관,4965,53
2009,02,기당미술관,426,8
2009,02,마라해양도립공원,24005,0
2009,02,박물관은살아있다,0,0
2009,02,산방산,38978,3344
2009,02,서귀포도립해양공원,21524,0
2009,02,서귀포자연휴양림,1809,0
2009,02,서복전시관,3192,719
2009,02,성산일출봉,50405,13125
2009,02,소리섬박물관,0,0
2009,02,소인국테마파크,43631,0
2009,02,신영영화박물관,5113,0
2009,02,아프리카박물관,8053,0
2009,02,여미지식물원,60137,0
2009,02,이중섭미술관,6225,57
2009,02,익스트림 아일랜드,0,0
2009,02,일출랜드,28884,0
2009,02,정방폭포,20440,3068
2009,02,제주민속촌박물관,20981,3590
2009,02,제주조각공원,1496,15
2009,02,제주추사관,0,0
2009,02,중문주상절리대,70044,4970
2009,02,천제연폭포,30590,7694
2009,02,천지연폭포,64288,7438
2009,02,카멜리아힐,0,0
2009,02,테디베어뮤지엄,31043,4953
2009,02,퍼시픽랜드,26085,0
2009,02,아쿠아플라넷,0,0
2009,02,화락원,0,0
2009,03,(주)제주미니미니랜드,24777,506
2009,03,국립제주박물관,17262,183
2009,03,도립미술관,0,0
2009,03,만장굴관광지,27072,6329
2009,03,목석원,6451,2352
2009,03,민속자연사박물관,90213,6630
2009,03,비자림,6385,0
2009,03,산굼부리,41184,2021
2009,03,삼성혈,5513,8744
2009,03,삼양선사유적지,1392,3
2009,03,생각하는 정원,14665,925
2009,03,절물자연휴양림,33278,134
2009,03,제주도립 김창열미술관,0,0
2009,03,제주돌문화공원,10796,66
2009,03,제주러브랜드,61904,11791
2009,03,제주목관아지,5049,722
2009,03,제주별빛누리공원,0,0
2009,03,제주항일기념관,5622,9
2009,03,한라산국립공원,62945,0
2009,03,한림공원,82138,2194
2009,03,항몽 유적지,7095,22
2009,03,해녀 박물관,22761,891
2009,03,감귤박물관,4291,32
2009,03,기당미술관,376,2
2009,03,마라해양도립공원,28596,0
2009,03,박물관은살아있다,0,0
2009,03,산방산,90146,3954
2009,03,서귀포도립해양공원,30810,0
2009,03,서귀포자연휴양림,1571,0
2009,03,서복전시관,926,88
2009,03,성산일출봉,94454,18850
2009,03,소리섬박물관,0,0
2009,03,소인국테마파크,56749,0
2009,03,신영영화박물관,8385,0
2009,03,아프리카박물관,6411,0
2009,03,여미지식물원,71466,0
2009,03,이중섭미술관,4127,39
2009,03,익스트림 아일랜드,0,0
2009,03,일출랜드,67317,500
2009,03,정방폭포,26696,4735
2009,03,제주민속촌박물관,37838,4054
2009,03,제주조각공원,2382,19
2009,03,제주추사관,0,0
2009,03,중문주상절리대,113856,5369
2009,03,천제연폭포,38168,9119
2009,03,천지연폭포,114539,10818
2009,03,카멜리아힐,0,0
2009,03,테디베어뮤지엄,27123,7382
2009,03,퍼시픽랜드,33332,0
2009,03,아쿠아플라넷,0,0
2009,03,화락원,0,0
2009,04,(주)제주미니미니랜드,37183,759
2009,04,국립제주박물관,50878,420
2009,04,도립미술관,0,0
2009,04,만장굴관광지,38066,4674
2009,04,목석원,8174,3323
2009,04,민속자연사박물관,149825,10303
2009,04,비자림,11270,4
2009,04,산굼부리,83203,2717
2009,04,삼성혈,8385,8422
2009,04,삼양선사유적지,3673,4
2009,04,생각하는 정원,18032,2370
2009,04,절물자연휴양림,51499,135
2009,04,제주도립 김창열미술관,0,0
2009,04,제주돌문화공원,15619,106
2009,04,제주러브랜드,68262,13002
2009,04,제주목관아지,9547,666
2009,04,제주별빛누리공원,0,0
2009,04,제주항일기념관,9055,40
2009,04,한라산국립공원,99649,0
2009,04,한림공원,139009,2759
2009,04,항몽 유적지,18923,33
2009,04,해녀 박물관,25420,2106
2009,04,감귤박물관,9871,147
2009,04,기당미술관,443,0
2009,04,마라해양도립공원,44181,0
2009,04,박물관은살아있다,0,0
2009,04,산방산,137508,3333
2009,04,서귀포도립해양공원,40201,0
2009,04,서귀포자연휴양림,3356,0
2009,04,서복전시관,0,0
2009,04,성산일출봉,172096,30235
2009,04,소리섬박물관,0,0
2009,04,소인국테마파크,90957,0
2009,04,신영영화박물관,15000,0
2009,04,아프리카박물관,9864,0
2009,04,여미지식물원,97995,0
2009,04,이중섭미술관,4943,78
2009,04,익스트림 아일랜드,0,0
2009,04,일출랜드,100588,1199
2009,04,정방폭포,45974,8925
2009,04,제주민속촌박물관,69061,5744
2009,04,제주조각공원,4058,60
2009,04,제주추사관,0,0
2009,04,중문주상절리대,186585,9555
2009,04,천제연폭포,51618,15189
2009,04,천지연폭포,176192,20421
2009,04,카멜리아힐,0,0
2009,04,테디베어뮤지엄,42524,15421
2009,04,퍼시픽랜드,54215,0
2009,04,아쿠아플라넷,0,0
2009,04,화락원,0,0
2009,05,(주)제주미니미니랜드,43831,895
2009,05,국립제주박물관,33922,673
2009,05,도립미술관,0,0
2009,05,만장굴관광지,49333,10664
2009,05,목석원,7583,1631
2009,05,민속자연사박물관,141607,9086
2009,05,비자림,15250,56
2009,05,산굼부리,83470,2708
2009,05,삼성혈,8171,8227
2009,05,삼양선사유적지,8604,6
2009,05,생각하는 정원,19889,1483
2009,05,절물자연휴양림,49620,213
2009,05,제주도립 김창열미술관,0,0
2009,05,제주돌문화공원,27052,87
2009,05,제주러브랜드,56491,9968
2009,05,제주목관아지,13442,546
2009,05,제주별빛누리공원,0,0
2009,05,제주항일기념관,7944,18
2009,05,한라산국립공원,157279,0
2009,05,한림공원,133336,1640
2009,05,항몽 유적지,16893,45
2009,05,해녀 박물관,19243,1727
2009,05,감귤박물관,8368,61
2009,05,기당미술관,457,5
2009,05,마라해양도립공원,57115,0
2009,05,박물관은살아있다,0,0
2009,05,산방산,142155,3302
2009,05,서귀포도립해양공원,41042,0
2009,05,서귀포자연휴양림,8114,0
2009,05,서복전시관,0,0
