년월,내국인개별여행객
2018-01,931530
2018-02,731347
2018-03,833785
2018-04,716499
2018-05,815996
2018-06,935068
2018-07,922316
2018-08,1038643
2018-09,880738
2018-10,868257
2018-11,920287
2018-12,799716
2019-01,916626
2019-02,704981
2019-03,837709
2019-04,908639
2019-05,884364
2019-06,914476
2019-07,924637
2019-08,1109760
2019-09,834467
2019-10,1044280
2019-11,1027256
2019-12,1111007
2020-01,1028221
2020-02,581380
2020-03,468096
2020-04,533225
2020-05,750271
2020-06,846253
2020-07,968395
2020-08,1077542
2020-09,707026
2020-10,1028256
2020-11,1060958
2020-12,605225
