년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,방문인구,국적,외국인유동인구수,내국인개별여행객
2018-01,제주시,건입동,,,,,,,중국,30589.44,931530
2018-01,제주시,건입동,,,,,,,중국 외,32542.06,931530
2018-01,제주시,구좌읍,,,,,,,중국,26691.16,931530
2018-01,제주시,구좌읍,,,,,,,중국 외,14845.87,931530
2018-01,서귀포시,남원읍,,,,,,,중국,179846.03,931530
2018-01,서귀포시,남원읍,,,,,,,중국 외,22754.32,931530
2018-01,제주시,노형동,,,,,,,중국,145583.19,931530
2018-01,제주시,노형동,,,,,,,중국 외,31173.26,931530
2018-01,서귀포시,대륜동,,,,,,,중국,22743.85,931530
2018-01,서귀포시,대륜동,,,,,,,중국 외,12868.880000000001,931530
2018-01,서귀포시,대정읍,,,,,,,중국,18883.03,931530
2018-01,서귀포시,대정읍,,,,,,,중국 외,16457.94,931530
2018-01,서귀포시,대천동,,,,,,,중국,7274.700000000001,931530
2018-01,서귀포시,대천동,,,,,,,중국 외,5954.12,931530
2018-01,제주시,도두동,,,,,,,중국,50804.630000000005,931530
2018-01,제주시,도두동,,,,,,,중국 외,35548.16,931530
2018-01,서귀포시,동홍동,,,,,,,중국,17931.52,931530
2018-01,서귀포시,동홍동,,,,,,,중국 외,5704.36,931530
2018-01,제주시,봉개동,,,,,,,중국,6530.77,931530
2018-01,제주시,봉개동,,,,,,,중국 외,3746.7599999999998,931530
2018-01,제주시,삼도1동,,,,,,,중국,6908.49,931530
2018-01,제주시,삼도1동,,,,,,,중국 외,7421.83,931530
2018-01,제주시,삼도2동,,,,,,,중국,54016.659999999996,931530
2018-01,제주시,삼도2동,,,,,,,중국 외,37344.21,931530
2018-01,제주시,삼양동,,,,,,,중국,5028.5199999999995,931530
2018-01,제주시,삼양동,,,,,,,중국 외,2811.91,931530
2018-01,서귀포시,서홍동,,,,,,,중국,92267.17,931530
2018-01,서귀포시,서홍동,,,,,,,중국 외,11608.71,931530
2018-01,서귀포시,성산읍,,,,,,,중국,62966.6,931530
2018-01,서귀포시,성산읍,,,,,,,중국 외,41733.71,931530
2018-01,서귀포시,송산동,,,,,,,중국,2707.45,931530
2018-01,서귀포시,송산동,,,,,,,중국 외,2668.11,931530
2018-01,제주시,아라동,,,,,,,중국,16798.37,931530
2018-01,제주시,아라동,,,,,,,중국 외,9450.26,931530
2018-01,서귀포시,안덕면,,,,,,,중국,52422.16,931530
2018-01,서귀포시,안덕면,,,,,,,중국 외,35871.64,931530
2018-01,제주시,애월읍,,,,,,,중국,86621.6,931530
2018-01,제주시,애월읍,,,,,,,중국 외,55568.13,931530
2018-01,제주시,연동,,,,,,,중국,632381.92,931530
2018-01,제주시,연동,,,,,,,중국 외,105681.77,931530
2018-01,서귀포시,영천동,,,,,,,중국,12804.91,931530
2018-01,서귀포시,영천동,,,,,,,중국 외,3301.71,931530
2018-01,서귀포시,예래동,,,,,,,중국,67946.13,931530
2018-01,서귀포시,예래동,,,,,,,중국 외,25243.44,931530
2018-01,제주시,오라동,,,,,,,중국,10420.41,931530
2018-01,제주시,오라동,,,,,,,중국 외,10707.93,931530
2018-01,제주시,외도동,,,,,,,중국,2136.55,931530
2018-01,제주시,외도동,,,,,,,중국 외,27453.07,931530
2018-01,제주시,용담1동,,,,,,,중국,6429.84,931530
2018-01,제주시,용담1동,,,,,,,중국 외,3021.06,931530
2018-01,제주시,용담2동,,,,,,,중국,320103.66,931530
2018-01,제주시,용담2동,,,,,,,중국 외,188842.46,931530
2018-01,제주시,우도면,,,,,,,중국,5152.53,931530
2018-01,제주시,우도면,,,,,,,중국 외,1606.68,931530
2018-01,제주시,이도1동,,,,,,,중국,13404.68,931530
2018-01,제주시,이도1동,,,,,,,중국 외,7746.32,931530
2018-01,제주시,이도2동,,,,,,,중국,18678.31,931530
2018-01,제주시,이도2동,,,,,,,중국 외,17107.3,931530
2018-01,제주시,이호동,,,,,,,중국,3953.05,931530
2018-01,제주시,이호동,,,,,,,중국 외,33653.5,931530
2018-01,제주시,일도1동,,,,,,,중국,4547.01,931530
2018-01,제주시,일도1동,,,,,,,중국 외,8002.74,931530
2018-01,제주시,일도2동,,,,,,,중국,6118.43,931530
2018-01,제주시,일도2동,,,,,,,중국 외,6720.41,931530
2018-01,서귀포시,정방동,,,,,,,중국,18539.92,931530
2018-01,서귀포시,정방동,,,,,,,중국 외,11748.86,931530
2018-01,제주시,조천읍,,,,,,,중국,17228.0,931530
2018-01,제주시,조천읍,,,,,,,중국 외,15489.83,931530
2018-01,서귀포시,중문동,,,,,,,중국,19445.27,931530
2018-01,서귀포시,중문동,,,,,,,중국 외,10165.84,931530
2018-01,서귀포시,중앙동,,,,,,,중국,5991.58,931530
2018-01,서귀포시,중앙동,,,,,,,중국 외,5768.38,931530
2018-01,서귀포시,천지동,,,,,,,중국,5576.38,931530
2018-01,서귀포시,천지동,,,,,,,중국 외,8280.19,931530
2018-01,제주시,추자면,,,,,,,중국,5218.84,931530
2018-01,제주시,추자면,,,,,,,중국 외,2330.23,931530
2018-01,서귀포시,표선면,,,,,,,중국,16290.91,931530
2018-01,서귀포시,표선면,,,,,,,중국 외,24137.579999999998,931530
2018-01,제주시,한경면,,,,,,,중국,9431.42,931530
2018-01,제주시,한경면,,,,,,,중국 외,3188.83,931530
2018-01,제주시,한림읍,,,,,,,중국,31177.65,931530
2018-01,제주시,한림읍,,,,,,,중국 외,10125.76,931530
2018-01,제주시,화북동,,,,,,,중국,5974.27,931530
2018-01,제주시,화북동,,,,,,,중국 외,2129.12,931530
2018-01,서귀포시,효돈동,,,,,,,중국,4913.2,931530
2018-01,서귀포시,효돈동,,,,,,,중국 외,874.65,931530
2018-02,제주시,건입동,,,,,,,중국,44147.82,731347
2018-02,제주시,건입동,,,,,,,중국 외,23545.38,731347
2018-02,제주시,구좌읍,,,,,,,중국,20038.84,731347
2018-02,제주시,구좌읍,,,,,,,중국 외,13251.35,731347
2018-02,서귀포시,남원읍,,,,,,,중국,101342.8,731347
2018-02,서귀포시,남원읍,,,,,,,중국 외,17495.98,731347
2018-02,제주시,노형동,,,,,,,중국,186951.02,731347
2018-02,제주시,노형동,,,,,,,중국 외,30704.96,731347
2018-02,서귀포시,대륜동,,,,,,,중국,26166.95,731347
2018-02,서귀포시,대륜동,,,,,,,중국 외,12611.58,731347
2018-02,서귀포시,대정읍,,,,,,,중국,17997.01,731347
2018-02,서귀포시,대정읍,,,,,,,중국 외,7462.3,731347
2018-02,서귀포시,대천동,,,,,,,중국,9953.49,731347
2018-02,서귀포시,대천동,,,,,,,중국 외,2925.03,731347
2018-02,제주시,도두동,,,,,,,중국,67772.6,731347
2018-02,제주시,도두동,,,,,,,중국 외,18249.77,731347
2018-02,서귀포시,동홍동,,,,,,,중국,37344.49,731347
2018-02,서귀포시,동홍동,,,,,,,중국 외,5168.86,731347
2018-02,제주시,봉개동,,,,,,,중국,10919.26,731347
2018-02,제주시,봉개동,,,,,,,중국 외,2126.61,731347
2018-02,제주시,삼도1동,,,,,,,중국,4793.79,731347
2018-02,제주시,삼도1동,,,,,,,중국 외,5531.96,731347
2018-02,제주시,삼도2동,,,,,,,중국,56334.14,731347
2018-02,제주시,삼도2동,,,,,,,중국 외,22589.97,731347
2018-02,제주시,삼양동,,,,,,,중국,2504.51,731347
2018-02,제주시,삼양동,,,,,,,중국 외,4248.81,731347
2018-02,서귀포시,서홍동,,,,,,,중국,75756.93,731347
2018-02,서귀포시,서홍동,,,,,,,중국 외,7343.93,731347
2018-02,서귀포시,성산읍,,,,,,,중국,67837.16,731347
2018-02,서귀포시,성산읍,,,,,,,중국 외,27496.73,731347
2018-02,서귀포시,송산동,,,,,,,중국,4861.0599999999995,731347
2018-02,서귀포시,송산동,,,,,,,중국 외,2721.52,731347
2018-02,제주시,아라동,,,,,,,중국,14185.07,731347
2018-02,제주시,아라동,,,,,,,중국 외,9596.72,731347
2018-02,서귀포시,안덕면,,,,,,,중국,67425.58,731347
2018-02,서귀포시,안덕면,,,,,,,중국 외,19694.43,731347
2018-02,제주시,애월읍,,,,,,,중국,116267.70999999999,731347
2018-02,제주시,애월읍,,,,,,,중국 외,27502.15,731347
2018-02,제주시,연동,,,,,,,중국,648336.28,731347
2018-02,제주시,연동,,,,,,,중국 외,91703.41,731347
2018-02,서귀포시,영천동,,,,,,,중국,11083.36,731347
2018-02,서귀포시,영천동,,,,,,,중국 외,3914.22,731347
2018-02,서귀포시,예래동,,,,,,,중국,146819.55,731347
2018-02,서귀포시,예래동,,,,,,,중국 외,14195.9,731347
2018-02,제주시,오라동,,,,,,,중국,8533.11,731347
2018-02,제주시,오라동,,,,,,,중국 외,6730.61,731347
2018-02,제주시,외도동,,,,,,,중국,2259.7,731347
2018-02,제주시,외도동,,,,,,,중국 외,8669.47,731347
2018-02,제주시,용담1동,,,,,,,중국,5216.17,731347
2018-02,제주시,용담1동,,,,,,,중국 외,3108.27,731347
2018-02,제주시,용담2동,,,,,,,중국,370781.48,731347
2018-02,제주시,용담2동,,,,,,,중국 외,134611.94,731347
2018-02,제주시,우도면,,,,,,,중국,9426.23,731347
2018-02,제주시,우도면,,,,,,,중국 외,1095.63,731347
2018-02,제주시,이도1동,,,,,,,중국,12955.699999999999,731347
2018-02,제주시,이도1동,,,,,,,중국 외,7512.51,731347
2018-02,제주시,이도2동,,,,,,,중국,28574.64,731347
2018-02,제주시,이도2동,,,,,,,중국 외,12915.6,731347
2018-02,제주시,이호동,,,,,,,중국,7446.29,731347
2018-02,제주시,이호동,,,,,,,중국 외,23520.66,731347
2018-02,제주시,일도1동,,,,,,,중국,7777.1900000000005,731347
2018-02,제주시,일도1동,,,,,,,중국 외,4789.81,731347
2018-02,제주시,일도2동,,,,,,,중국,8347.49,731347
2018-02,제주시,일도2동,,,,,,,중국 외,5150.55,731347
2018-02,서귀포시,정방동,,,,,,,중국,31974.96,731347
2018-02,서귀포시,정방동,,,,,,,중국 외,14417.93,731347
2018-02,제주시,조천읍,,,,,,,중국,22925.34,731347
2018-02,제주시,조천읍,,,,,,,중국 외,12173.15,731347
2018-02,서귀포시,중문동,,,,,,,중국,18726.05,731347
