년월,읍면동명,업종명,이용금액
2017-01,강정동,기타 외국식 음식점업,10075500
2017-01,강정동,비알콜 음료점업,3864500
2017-01,강정동,빵 및 과자류 소매업,32817560
2017-01,강정동,서양식 음식점업,40524300
2017-01,강정동,일식 음식점업,23746500
2017-01,강정동,중식 음식점업,8742500
2017-01,강정동,한식 음식점업,329883292
2017-01,건입동,기타 외국식 음식점업,5689900
2017-01,건입동,비알콜 음료점업,4027600
2017-01,건입동,빵 및 과자류 소매업,4723400
2017-01,건입동,서양식 음식점업,55318500
2017-01,건입동,일식 음식점업,121270412
2017-01,건입동,중식 음식점업,6492000
2017-01,건입동,한식 음식점업,526520598
2017-01,구좌읍,기타 외국식 음식점업,730000
2017-01,구좌읍,비알콜 음료점업,28101870
2017-01,구좌읍,빵 및 과자류 소매업,4299200
2017-01,구좌읍,서양식 음식점업,95930740
2017-01,구좌읍,일식 음식점업,35308000
2017-01,구좌읍,중식 음식점업,13852000
2017-01,구좌읍,한식 음식점업,616553199
2017-01,남원읍,기타 외국식 음식점업,3201000
2017-01,남원읍,비알콜 음료점업,6384800
2017-01,남원읍,빵 및 과자류 소매업,15593460
2017-01,남원읍,서양식 음식점업,30269700
2017-01,남원읍,일식 음식점업,70744500
2017-01,남원읍,중식 음식점업,6872500
2017-01,남원읍,한식 음식점업,429399734
2017-01,내도동,기타 외국식 음식점업,0
2017-01,내도동,비알콜 음료점업,300000
2017-01,내도동,빵 및 과자류 소매업,5174564
2017-01,내도동,서양식 음식점업,2050050
2017-01,내도동,일식 음식점업,0
2017-01,내도동,중식 음식점업,3255000
2017-01,내도동,한식 음식점업,15199000
2017-01,노형동,기타 외국식 음식점업,114870014
2017-01,노형동,비알콜 음료점업,110314420
2017-01,노형동,빵 및 과자류 소매업,207298726
2017-01,노형동,서양식 음식점업,303509668
2017-01,노형동,일식 음식점업,278591500
2017-01,노형동,중식 음식점업,122197130
2017-01,노형동,한식 음식점업,3482512477
2017-01,대정읍,기타 외국식 음식점업,1902000
2017-01,대정읍,비알콜 음료점업,26050900
2017-01,대정읍,빵 및 과자류 소매업,50848210
2017-01,대정읍,서양식 음식점업,44815630
2017-01,대정읍,일식 음식점업,80155500
2017-01,대정읍,중식 음식점업,37137500
2017-01,대정읍,한식 음식점업,840766913
2017-01,대포동,기타 외국식 음식점업,0
2017-01,대포동,비알콜 음료점업,0
2017-01,대포동,빵 및 과자류 소매업,0
2017-01,대포동,서양식 음식점업,27665450
2017-01,대포동,일식 음식점업,106939500
2017-01,대포동,중식 음식점업,29931500
2017-01,대포동,한식 음식점업,137682300
2017-01,도남동,기타 외국식 음식점업,40691000
2017-01,도남동,비알콜 음료점업,10327800
2017-01,도남동,빵 및 과자류 소매업,55850360
2017-01,도남동,서양식 음식점업,29076800
2017-01,도남동,일식 음식점업,45859000
2017-01,도남동,중식 음식점업,15572000
2017-01,도남동,한식 음식점업,842443342
2017-01,도두이동,기타 외국식 음식점업,0
2017-01,도두이동,비알콜 음료점업,0
2017-01,도두이동,빵 및 과자류 소매업,0
2017-01,도두이동,서양식 음식점업,7765400
2017-01,도두이동,일식 음식점업,23458000
2017-01,도두이동,중식 음식점업,2503000
2017-01,도두이동,한식 음식점업,69936500
2017-01,도두일동,기타 외국식 음식점업,16000
2017-01,도두일동,비알콜 음료점업,13190630
2017-01,도두일동,빵 및 과자류 소매업,528000
2017-01,도두일동,서양식 음식점업,17185270
2017-01,도두일동,일식 음식점업,119058376
2017-01,도두일동,중식 음식점업,1889500
2017-01,도두일동,한식 음식점업,323932039
2017-01,도련이동,기타 외국식 음식점업,0
2017-01,도련이동,비알콜 음료점업,0
2017-01,도련이동,빵 및 과자류 소매업,14057890
2017-01,도련이동,서양식 음식점업,0
2017-01,도련이동,일식 음식점업,0
2017-01,도련이동,중식 음식점업,5767000
2017-01,도련이동,한식 음식점업,23997700
2017-01,도련일동,기타 외국식 음식점업,5496100
2017-01,도련일동,비알콜 음료점업,11429240
2017-01,도련일동,빵 및 과자류 소매업,17550040
2017-01,도련일동,서양식 음식점업,8281840
2017-01,도련일동,일식 음식점업,0
2017-01,도련일동,중식 음식점업,28481000
2017-01,도련일동,한식 음식점업,143502750
2017-01,도순동,기타 외국식 음식점업,0
2017-01,도순동,비알콜 음료점업,0
2017-01,도순동,빵 및 과자류 소매업,0
2017-01,도순동,서양식 음식점업,0
2017-01,도순동,일식 음식점업,0
2017-01,도순동,중식 음식점업,2645000
2017-01,도순동,한식 음식점업,3294000
2017-01,도평동,기타 외국식 음식점업,0
2017-01,도평동,비알콜 음료점업,582000
2017-01,도평동,빵 및 과자류 소매업,0
2017-01,도평동,서양식 음식점업,0
2017-01,도평동,일식 음식점업,0
2017-01,도평동,중식 음식점업,0
2017-01,도평동,한식 음식점업,582000
2017-01,동홍동,기타 외국식 음식점업,16571076
2017-01,동홍동,비알콜 음료점업,17743290
2017-01,동홍동,빵 및 과자류 소매업,47474110
2017-01,동홍동,서양식 음식점업,27031700
2017-01,동홍동,일식 음식점업,89996400
2017-01,동홍동,중식 음식점업,17065000
2017-01,동홍동,한식 음식점업,716895110
2017-01,법환동,기타 외국식 음식점업,47870300
2017-01,법환동,비알콜 음료점업,10941930
2017-01,법환동,빵 및 과자류 소매업,19864350
2017-01,법환동,서양식 음식점업,41703300
2017-01,법환동,일식 음식점업,8682000
2017-01,법환동,중식 음식점업,14499130
2017-01,법환동,한식 음식점업,269359765
2017-01,보목동,기타 외국식 음식점업,0
2017-01,보목동,비알콜 음료점업,0
2017-01,보목동,빵 및 과자류 소매업,0
2017-01,보목동,서양식 음식점업,675700
2017-01,보목동,일식 음식점업,485000
2017-01,보목동,중식 음식점업,6646000
2017-01,보목동,한식 음식점업,25186000
2017-01,봉개동,기타 외국식 음식점업,16559400
2017-01,봉개동,비알콜 음료점업,2292000
2017-01,봉개동,빵 및 과자류 소매업,2690600
2017-01,봉개동,서양식 음식점업,0
2017-01,봉개동,일식 음식점업,0
2017-01,봉개동,중식 음식점업,6678500
2017-01,봉개동,한식 음식점업,112527300
2017-01,삼도이동,기타 외국식 음식점업,10123000
2017-01,삼도이동,비알콜 음료점업,919000
2017-01,삼도이동,빵 및 과자류 소매업,16130530
2017-01,삼도이동,서양식 음식점업,25579590
