년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,방문인구,년
2018-12,서귀포시,표선면,서양식 음식점업,여성,508,9231710,2849679.725,1768093.948,2018
2018-12,서귀포시,표선면,비알콜 음료점업,여성,282,3436000,2849679.725,1768093.948,2018
2018-12,서귀포시,표선면,기타 외국식 음식점업,여성,17,418000,2849679.725,1768093.948,2018
2018-12,서귀포시,표선면,중식 음식점업,여성,163,4297010,2849679.725,1768093.948,2018
2018-12,서귀포시,표선면,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,437,8374714,2849679.725,1768093.948,2018
2018-12,서귀포시,표선면,한식 음식점업,여성,3223,152258311,2849679.725,1768093.948,2018
2018-12,제주시,한경면,일식 음식점업,남성,139,5968900,2121829.177,1045558.755,2018
2018-12,제주시,한경면,중식 음식점업,남성,429,10690300,2121829.177,1045558.755,2018
2018-12,제주시,한경면,비알콜 음료점업,남성,69,1138500,2121829.177,1045558.755,2018
2018-12,제주시,한경면,서양식 음식점업,남성,739,16441650,2121829.177,1045558.755,2018
2018-12,제주시,한경면,비알콜 음료점업,여성,65,1093500,1924539.519,854976.9190000001,2018
2018-12,제주시,한경면,한식 음식점업,남성,3147,126241500,2121829.177,1045558.755,2018
2018-12,제주시,한경면,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,110,5079500,2121829.177,1045558.755,2018
2018-12,제주시,한경면,서양식 음식점업,여성,933,20446500,1924539.519,854976.9190000001,2018
2018-12,제주시,한경면,한식 음식점업,여성,1673,68177640,1924539.519,854976.9190000001,2018
2018-12,제주시,한경면,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,97,3456500,1924539.519,854976.9190000001,2018
2018-12,제주시,한경면,일식 음식점업,여성,85,3533700,1924539.519,854976.9190000001,2018
2018-12,제주시,한경면,중식 음식점업,여성,166,4568500,1924539.519,854976.9190000001,2018
2018-12,제주시,한림읍,일식 음식점업,여성,285,21477400,5908012.602000001,2235881.592,2018
2018-12,제주시,한림읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,724,11686620,5908012.602000001,2235881.592,2018
2018-12,제주시,한림읍,중식 음식점업,여성,349,13298000,5908012.602000001,2235881.592,2018
2018-12,제주시,한림읍,한식 음식점업,여성,7653,293536850,5908012.602000001,2235881.592,2018
2018-12,제주시,한림읍,서양식 음식점업,남성,2268,48955970,6937616.002,3091309.64,2018
2018-12,제주시,한림읍,비알콜 음료점업,남성,464,5542520,6937616.002,3091309.64,2018
2018-12,제주시,한림읍,기타 외국식 음식점업,남성,296,6635000,6937616.002,3091309.64,2018
2018-12,제주시,한림읍,일식 음식점업,남성,454,39144000,6937616.002,3091309.64,2018
2018-12,제주시,한림읍,중식 음식점업,남성,754,23390700,6937616.002,3091309.64,2018
2018-12,제주시,한림읍,비알콜 음료점업,여성,512,5642110,5908012.602000001,2235881.592,2018
2018-12,제주시,한림읍,기타 외국식 음식점업,여성,137,4073228,5908012.602000001,2235881.592,2018
2018-12,제주시,한림읍,한식 음식점업,남성,11674,470973278,6937616.002,3091309.64,2018
2018-12,제주시,한림읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,858,13392750,6937616.002,3091309.64,2018
2018-12,제주시,한림읍,서양식 음식점업,여성,2563,51832760,5908012.602000001,2235881.592,2018
2018-12,제주시,화북동,서양식 음식점업,남성,234,4750400,8462978.001,3412685.009,2018
2018-12,제주시,화북동,비알콜 음료점업,남성,949,7343900,8462978.001,3412685.009,2018
2018-12,제주시,화북동,기타 외국식 음식점업,남성,602,18965100,8462978.001,3412685.009,2018
2018-12,제주시,화북동,일식 음식점업,남성,79,6816000,8462978.001,3412685.009,2018
2018-12,제주시,화북동,기타 외국식 음식점업,여성,460,16538400,9085841.559,2675114.845,2018
2018-12,제주시,화북동,한식 음식점업,남성,9145,313079393,8462978.001,3412685.009,2018
2018-12,제주시,화북동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,1313,22226830,8462978.001,3412685.009,2018
2018-12,제주시,화북동,비알콜 음료점업,여성,1184,8892500,9085841.559,2675114.845,2018
2018-12,제주시,화북동,서양식 음식점업,여성,268,5189000,9085841.559,2675114.845,2018
2018-12,제주시,화북동,일식 음식점업,여성,37,4086000,9085841.559,2675114.845,2018
2018-12,제주시,화북동,중식 음식점업,여성,271,6495120,9085841.559,2675114.845,2018
2018-12,제주시,화북동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,1264,21634278,9085841.559,2675114.845,2018
2018-12,제주시,화북동,한식 음식점업,여성,5305,177260560,9085841.559,2675114.845,2018
2018-12,제주시,화북동,중식 음식점업,남성,539,13080000,8462978.001,3412685.009,2018
2018-12,서귀포시,효돈동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,152,1296100,1238417.978,534678.899,2018
2018-12,서귀포시,효돈동,중식 음식점업,여성,249,6205500,1238417.978,534678.899,2018
2018-12,서귀포시,효돈동,일식 음식점업,여성,50,1808000,1238417.978,534678.899,2018
