index,서귀포시 동권역,서귀포시 동부권역,서귀포시 서부권역,제주시 동권역,제주시 동부권역,제주시 서부권역
2019년 01월,1958171,1257806,812809,3647194,1005777,1186060
2019년 02월,1788516,1135807,752514,3412394,926442,1090450
2019년 03월,1761859,1207840,800139,3528180,1097106,1211185
2019년 04월,1956400,1397623,936671,3778284,1258647,1374969
2019년 05월,2254186,1458903,972925,3975993,1366838,1479163
2019년 06월,2020152,1348135,883818,3841303,1284029,1452686
2019년 07월,2155775,1296372,865458,3949365,1328203,1577548
2019년 08월,2739449,1630355,1075576,4871884,1667365,2002624
2019년 09월,1829267,1184611,762292,3608715,1122465,1311850
2019년 10월,2307950,1573762,993569,4174673,1525982,1616772
2019년 11월,1934317,1306492,871795,3868093,1242294,1357482
2019년 12월,2023512,1345647,891869,3827807,1089101,1282252
2020년 01월,2343957,1355549,920229,4471831,1084567,1365558
2020년 02월,9303,2967,4534,24233,1741,5009
2020년 03월,981873,549177,406315,1921686,546738,752141
2020년 04월,923082,544412,405601,1831097,553792,758714
2020년 05월,1515269,927433,698254,2858466,962366,1234925
2020년 06월,1551571,931889,712215,3067547,975038,1282698
2020년 07월,1950690,1147716,850808,3660285,1192959,1533746
2020년 08월,2668398,1515470,1174600,4684272,1642631,2172397
2020년 09월,1442730,847603,678940,2655902,926681,1226016
2020년 10월,2113510,1320549,1002843,3917057,1370397,1748425
2020년 11월,2232597,1410369,1082129,4448082,1367872,1780745
2020년 12월,1247138,756488,593869,2388332,665330,968260
2021년 01월,1185863,621650,498305,2097581,562577,824385
2021년 02월,1652060,932502,771581,3103184,914252,1299421
2021년 03월,1813832,1074745,872197,3644251,1080760,1473317
2021년 04월,2357717,1455690,1141530,4434141,1434042,1920264
2021년 05월,2581350,1580430,1284283,4681263,1549475,2153993
2021년 06월,2517316,1456245,1223390,4528724,1508810,2087294
2021년 07월,2814300,1501897,1217403,4790560,1564802,2287289
2021년 08월,2699702,1422565,1284047,4495979,1512735,2238044
2021년 09월,1966788,1107439,932420,3587209,1167966,1616970
2021년 10월,2833671,1689164,1331011,5114037,1711464,2279613
2021년 11월,2710809,1665193,1335807,5367722,1615372,2124778
2021년 12월,1247138,756488,593869,2388332,665330,968260
2022년 01월,3251055,1895299,1463651,5670215,1586975,2328776
2022년 02월,2710342,1628759,1328369,4999880,1482570,2136603
2022년 03월,1953019,1201125,955337,3873933,1122296,1580279
2022년 04월,2641175,1688375,1331896,4879039,1539455,2026872
2022년 05월,3012979,1872596,1542979,5419417,1812915,2357582
2022년 06월,2992123,1794343,1499321,5552072,1753715,2406172
2022년 07월,3070169,1660752,1407506,5426795,1729019,2479616
2022년 08월,3503420,1953273,1754748,6047152,2086495,2946677
2022년 09월,2326296,1356546,1143182,4396510,1361363,1836758
2022년 10월,2782176,1745931,1538467,4223871,1948989,2184305
2022년 11월,2191836,1438815,1212571,3922070,1415060,1758784
