년,월,순위,외지인 검색 수,분류,관광지명,주소
2018,1,1,48819,교통시설,제주국제공항,제주 제주시 공항로 2-0
2018,1,2,25046,시장,동문재래시장,제주 제주시 관덕로14길 20-0
2018,1,3,22406,시장,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0
2018,1,4,16069,자연경관(산),성산일출봉,제주 서귀포시 일출로 284-12
2018,1,5,12474,전시시설,아르떼뮤지엄제주,제주 제주시 어림비로 478-0
2018,1,6,10663,자연경관(하천/해양),함덕해수욕장,제주 제주시 조함해안로 525-0
2018,1,7,9950,테마공원,카멜리아힐,제주 서귀포시 병악로 166-0
2018,1,8,9815,자연경관(하천/해양),협재해수욕장,제주 제주시
2018,1,9,9000,기타관광,제주동백수목원,제주 서귀포시
2018,1,10,8838,기타관광,섭지코지,제주 서귀포시 섭지코지로 107-0
2018,1,11,8724,전시시설,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0
2018,1,12,8091,농/산/어촌체험,동백포레스트,제주 서귀포시 생기악로 53-38
2018,1,13,7769,기타레저스포츠,한라산둘레길사려니숲길,제주 제주시
2018,1,14,7340,자연경관(하천/해양),이호테우해변,제주 제주시
2018,1,15,7063,호텔,그랜드하얏트제주,제주 제주시 노연로 12-0
2018,1,16,6751,테마공원,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15
2018,1,17,6660,자연경관(산),새별오름,제주 제주시
2018,1,18,6595,기타관광,스누피가든,제주 제주시 금백조로 930-0
2018,1,19,6450,데이트코스,신창풍차해안도로,제주 제주시
2018,1,20,6376,대형마트,이마트서귀포점,제주 서귀포시 일주동로 9209-0
2018,1,21,6233,기타관광,용머리해안,제주 서귀포시 사계남로216번길 24-32
2018,1,22,6067,기타관광,주상절리대,제주 서귀포시 이어도로 36-30
2018,1,23,5431,자연경관(산),금오름,제주 제주시
2018,1,24,5354,자연공원,비자림,제주 제주시 비자숲길 55-0
2018,1,25,5216,자연경관(하천/해양),광치기해변,제주 서귀포시
2018,1,26,5079,자연경관(하천/해양),곽지해수욕장,제주 제주시
2018,1,27,4771,기타관광,용두암,제주 제주시 용두암길 15-0
2018,1,28,4496,호텔,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0
2018,1,29,4424,교통시설,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21
2018,1,30,4399,전시시설,빛의벙커,제주 서귀포시
2018,1,31,4398,콘도미니엄,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0
2018,1,32,4382,면세점,제주관광공사면세점,제주 서귀포시 중문관광로 224-0
2018,1,33,4323,기타관광,쇠소깍,제주 서귀포시 쇠소깍로 128-0
2018,1,34,4316,콘도미니엄,소노캄제주,제주 서귀포시 일주동로 6347-17
2018,1,35,4285,테마공원,9.81파크,제주 제주시 천덕로 880-24
2018,1,36,4116,자연경관(산),천지연폭포,제주 서귀포시 서문서로 1-1
2018,1,37,3976,콘도미니엄,한화리조트제주,제주 제주시 명림로 575-107
2018,1,38,3918,콘도미니엄,소노벨제주,제주 제주시 신북로 577-0
2018,1,39,3909,교통시설,제주항연안여객터미널,제주 제주시 임항로 111-0
2018,1,40,3826,데이트코스,하귀애월해안도로,제주 제주시
2018,1,41,3811,데이트코스,도두동무지개해안도로,제주 제주시
2018,1,42,3774,대형마트,이마트신제주점,제주 제주시 1100로 3348-0
2018,1,43,3765,기타문화관광지,노형수퍼마?,제주 제주시 노형로 89-0
2018,1,44,3694,자연경관(산),정방폭포,제주 서귀포시
2018,1,45,3693,콘도미니엄,휘닉스제주,제주 서귀포시 섭지코지로 107-0
2018,1,46,3660,콘도미니엄,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19
2018,1,47,3581,호텔,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0
