사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,부대시설내역,데이터갱신일자
국제문화스포츠교육원 제주힐링캠프,관광사업자,관광객이용시설업,20121106,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 성산읍 신산리 953,제주특별자치도 서귀포시 성산읍 독자봉로51번길 27,,"차량10면, 공동취사장, 공중화장실, 공중샤워장 등",2019-06-15 02:21:11
이레상사,관광사업자,관광객이용시설업,20121109,,영업/정상,,,,,817.0,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시 월드컵로 33 (법환동),,,2019-06-15 02:21:11
정관장제주조현 대리점,관광사업자,관광객이용시설업,20121123,,영업/정상,,,,,475.31,제주특별자치도 제주시 이도이동 1927 - 3,제주특별자치도 제주시 도남로 142 (이도이동),,,2019-06-15 02:21:11
(주)제주미자듀티프리,관광사업자,관광객이용시설업,20121220,,영업/정상,,,,,292.72,제주특별자치도 제주시 오라이동 779 - 1,제주특별자치도 제주시 아연로 157 (오라이동),,,2019-06-15 02:21:11
유진글로벌(주),관광사업자,관광객이용시설업,20121231,,영업/정상,,,,,328.07,제주특별자치도 제주시 오라삼동 2140 - 3,제주특별자치도 제주시 연삼로 145 (오라삼동),,,2019-06-15 02:21:11
석부작박물관,관광사업자,관광객이용시설업,20130318,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 호근동 569 - 2,제주특별자치도 서귀포시 일주동로 8941 (호근동),,,2019-06-15 02:21:11
현대 JK,관광사업자,관광객이용시설업,20130322,,영업/정상,,,,,309.17,제주특별자치도 제주시 용담일동 163 - 9,제주특별자치도 제주시 서문로4길 23 (용담일동),,,2019-06-15 02:21:11
뉴대장금,관광사업자,관광객이용시설업,20130322,,영업/정상,,,,,224.0,제주특별자치도 서귀포시 표선면 성읍리 1430 외1필지,제주특별자치도 서귀포시 표선면 중산간동로 4708-7,,,2019-06-15 02:21:11
주식회사 마린파크,관광사업자,관광객이용시설업,20130409,,영업/정상,,,,,3980.56,제주특별자치도 서귀포시 안덕면 화순리 823,제주특별자치도 서귀포시 안덕면 화순중앙로 132,,"공용화장실, 휴게시설",2019-06-15 02:21:11
나비공원 프시케월드 신한관광개발(주),관광사업자,관광객이용시설업,20071116,,영업/정상,,,,,0.0,제주특별자치도 제주시 애월읍 소길리 155 - 101,제주특별자치도 제주시 애월읍 평화로 2157,,,2019-06-15 02:21:11
한국보간보,관광사업자,관광객이용시설업,20130516,,영업/정상,,,,,493.02,제주특별자치도 제주시 도남동 693 - 2,제주특별자치도 제주시 복지로5길 6 (도남동),,,2019-06-15 02:21:11
주식회사 제주참앤참,관광사업자,관광객이용시설업,20130531,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담이동 2621 - 10,제주특별자치도 제주시 한천로 29 (용담이동),,,2019-06-15 02:21:11
서아통상(주 )제주지점,관광사업자,관광객이용시설업,20130626,,영업/정상,,,,,66.0,제주특별자치도 제주시 연동 1407 - 2,제주특별자치도 제주시 과원로 68 (연동),,,2019-06-15 02:21:11
한라산 동충하초 1관 2관,관광사업자,관광객이용시설업,20130703,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 표선면 성읍리 483 - 15,제주특별자치도 서귀포시 표선면 서성일로 46,,,2019-06-15 02:21:11
(주)제주국제컨벤션센터,관광사업자,국제회의업,20061110,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 중문동 2700,제주특별자치도 서귀포시 중문관광로 224 (중문동),,,2019-06-15 02:21:11
(주)피앤피,관광사업자,국제회의업,20110919,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담일동 232 - 4,제주특별자치도 제주시 용담로 134 (용담일동),,,2019-06-15 02:21:11
