순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,33353
2,협재해수욕장,제주 제주시,자연경관(하천/해양),18313
3,동문재래시장,제주 제주시 관덕로14길 20-0,시장,17935
4,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,17285
5,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),13675
6,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),11183
7,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,10369
8,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),9062
9,곽지해수욕장,제주 제주시,자연경관(하천/해양),8743
10,이호테우해변,제주 제주시,자연경관(하천/해양),8487
11,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,7875
12,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,7463
13,월정리해변,제주 제주시,자연경관(하천/해양),7369
14,용두암,제주 제주시 용두암길 15-0,기타관광,7099
15,만장굴,제주 제주시 만장굴길 182-0,자연생태,6985
16,성산항,제주 서귀포시,자연경관(하천/해양),6489
17,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,6379
18,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,6318
19,비자림,제주 제주시 비자숲길 55-0,자연공원,6203
20,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,6073
21,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,6027
22,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5829
23,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),5769
24,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),5666
25,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,5399
26,정방폭포,제주 서귀포시,자연경관(산),4741
27,표선해수욕장,제주 서귀포시,자연경관(하천/해양),4289
28,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),4264
29,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,4114
30,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,4080
31,동문공설시장,제주 제주시 동문로 16-0,시장,4025
32,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,4021
