순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,47902
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,23284
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,21656
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),13830
5,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,11535
6,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,10467
7,협재해수욕장,제주 제주시,자연경관(하천/해양),9874
8,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),9828
9,동백포레스트,제주 서귀포시 생기악로 53-38,농/산/어촌체험,9543
10,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,8737
11,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,8259
12,새별오름,제주 제주시,자연경관(산),8056
13,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,7683
14,제주동백수목원,제주 서귀포시,기타관광,7580
15,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,6973
16,이호테우해변,제주 제주시,자연경관(하천/해양),6872
17,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,6243
18,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,6108
19,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,6028
20,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5739
21,신창풍차해안도로,제주 제주시,데이트코스,5304
22,금오름,제주 제주시,자연경관(산),5209
23,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,5194
24,비자림,제주 제주시 비자숲길 55-0,자연공원,5192
25,스누피가든,제주 제주시 금백조로 930-0,기타관광,5135
26,곽지해수욕장,제주 제주시,자연경관(하천/해양),5036
27,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,4827
28,용두암,제주 제주시 용두암길 15-0,기타관광,4681
29,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,4646
30,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,4510
31,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,4366
32,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),4293
33,바이나흐튼크리스마스박물관,제주 서귀포시 평화로 654-0,전시시설,4265
34,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,4186
35,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,4150
36,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,4108
37,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,4000
38,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,3996
39,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,3995
40,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,3945
41,빛의벙커,제주 서귀포시,전시시설,3848
42,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,3833
43,9.81파크,제주 제주시 천덕로 880-24,테마공원,3790
44,정방폭포,제주 서귀포시,자연경관(산),3657
45,광치기해변,제주 서귀포시,자연경관(하천/해양),3581
46,하귀애월해안도로,제주 제주시,데이트코스,3577
47,산굼부리,제주 제주시,복합관광시설,3527
48,노형수퍼마?,제주 제주시 노형로 89-0,기타문화관광지,3373
49,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,3366
50,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,3360
51,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3356
52,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,3294
53,도두동무지개해안도로,제주 제주시,데이트코스,3244
54,월정리해변,제주 제주시,자연경관(하천/해양),3224
55,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,3199
