국적,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,비고,담당부서,데이터기준일자
한국,8517417,8945601,11040135,12249959,13522632,13089129,13560004,10023678,11960159,없음,관광정책과,2021-12-31
일본,128879,96519,59233,47997,55359,86634,87975,7638,972,없음,관광정책과,2021-12-31
미국,21439,19812,16898,33605,32651,31270,39827,9696,10746,없음,관광정책과,2021-12-31
대만,38890,32189,17839,38046,28994,51331,87981,10185,304,없음,관광정책과,2021-12-31
중국,1812172,2859092,2237363,3061522,747315,666120,1079133,103288,103288,없음,관광정책과,2021-12-31
홍콩,39761,28405,22732,44757,48952,49085,56268,10168,10168,없음,관광정책과,2021-12-31
싱가포르,56622,46307,29620,50566,33732,28572,26345,2680,227,없음,관광정책과,2021-12-31
말레이시아,74956,63953,39892,66207,49524,68353,67877,10092,763,없음,관광정책과,2021-12-31
인도네시아,0,0,0,0,0,0,0,0,701,2021년 이전 미집계,관광정책과,2021-12-31
베트남,0,0,0,0,0,0,0,0,614,2021년 이전 미집계,관광정책과,2021-12-31
기타,161129,182039,200683,260321,234077,263467,280726,59020,26833,없음,관광정책과,2021-12-31
